E1,E2,W
Clyde,Julia,1.0
Clyde,the youth,1.0
Clyde,that individual,1.0
Clyde,Mr. Squires,2.0
Clyde,Hortense,14.0
Clyde,Esta,13.0
Clyde,Laura Sipe,3.0
Hortense,Clyde,24.0
Hortense,Mr. Rubenstein,3.0
Hortense,Tom Keary,1.0
Hortense,a certain alleged young society man,2.0
Hortense,Higby,1.0
Hortense,Sparser,1.0
Esta,Clyde,2.0
Hegglund,Clyde,4.0
Hegglund,Maida Axelrod,2.0
Ratterer,Clyde,3.0
Ratterer,Hegglund,1.0
Ratterer,Hortense,2.0
Ratterer,Lucille Nickolas,4.0
Ratterer,Higby,1.0
Sparser,Hortense,3.0
Mrs. Griffiths,Asa,1.0
Mrs. Griffiths,Clyde,1.0
Higby,Tina Kogel,2.0
Higby,Hegglund,1.0
Laura Sipe,Clyde,1.0
Maida Axelrod,Clyde,1.0
the blonde girl,Clyde,2.0
Tina Kogel,Clyde,1.0
Kinsella,Clyde,1.0
a certain alleged young society man,Hortense,2.0
the elevator boy,Clyde,1.0
