Id,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
Clyde,27,14,41,92.0,146.0,238.0,3.0,0.6857142857142857,0.7847222222222222,0.42275641025641025,0.976562,0.09150259,0.2913156235482547,1.0,0.01411290280520916
Gilbert,1,1,2,1.0,1.0,2.0,5.0,0.3076923076923077,0.3416666666666666,0.0,0.017302448,0.011542881,0.024925846686392347,0.2855756507456583,1.0
Whiggam,1,3,4,2.0,3.0,5.0,4.0,0.4444444444444444,0.5034722222222223,0.03717948717948718,0.017302448,0.19888301,0.024925846686392347,0.2855756507456583,0.3333333432674408
Hortense,1,1,2,2.0,2.0,4.0,4.0,0.41379310344827586,0.4479166666666668,0.0,0.017302448,0.18466051,0.024925846686392347,0.2855756507456583,0.0
Rita,2,1,3,6.0,3.0,9.0,4.0,0.41379310344827586,0.4479166666666668,0.0,0.05415678,0.18466051,0.03681524639850786,0.36633104752249335,1.0
Dillard,2,2,4,2.0,4.0,6.0,4.0,0.42105263157894735,0.4687500000000002,3.205128205128205E-4,0.05415678,0.19490114,0.028000153761808685,0.28843140725311495,0.5
Bella,2,4,6,2.0,5.0,7.0,3.0,0.48,0.5416666666666667,0.07371794871794872,0.057143744,0.21528764,0.028704474097144474,0.3102473479494249,0.25
Mrs. Cuppy,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.017302448,0.0,0.024925846686392347,0.2855756507456583,0.0
Roberta,5,5,10,122.0,52.0,174.0,4.0,0.48,0.5590277777777779,0.08525641025641026,0.101681076,0.21977855,0.04998582297845634,0.34310251089062016,0.0714285746216774
Constance,1,1,2,1.0,1.0,2.0,4.0,0.41379310344827586,0.4479166666666668,0.0,0.017302448,0.18466051,0.024925846686392347,0.2855756507456583,0.0
Frank Harriet,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.017302448,0.0,0.024925846686392347,0.2855756507456583,0.0
Sondra,3,2,5,10.0,8.0,18.0,4.0,0.42857142857142855,0.4756944444444446,0.032692307692307694,0.061043587,0.19150805,0.05458461358488818,0.4628171288415313,0.3333333432674408
Ratterer,1,1,2,1.0,1.0,2.0,4.0,0.41379310344827586,0.4479166666666668,0.0,0.017302448,0.18466051,0.024925846686392347,0.2855756507456583,0.0
Nadine,1,0,1,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.017302448,0.0,0.024925846686392347,0.2855756507456583,0.0
the druggist,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.017302448,0.0,0.024925846686392347,0.2855756507456583,0.0
Grace,1,2,3,2.0,5.0,7.0,4.0,0.4444444444444444,0.4895833333333335,0.0,0.041558463,0.20388763,0.01572275617644593,0.0990849918506252,1.0
Tom,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.041558463,0.0,0.01572275617644593,0.0990849918506252,0.0
Emily,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.041558463,0.0,0.01572275617644593,0.0990849918506252,0.0
