Id,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
Clyde,18,16,34,57.0,63.0,120.0,3.0,0.6666666666666666,0.7611111111111111,0.281045751633987,0.5812553,0.5222901,0.1326651133281635,1.0,0.03561253473162651
Orville Mason,7,10,17,12.0,23.0,35.0,3.0,0.5660377358490566,0.65,0.10444444444444444,0.22909832,0.42456394,0.058535539323771424,0.6756888506540563,0.08974359184503555
the detective,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09744139,0.0,0.013649124730620039,0.2483930766477365,0.0
Roberta,12,5,17,54.0,12.0,66.0,4.0,0.47619047619047616,0.5416666666666667,0.11078431372549019,0.44103888,0.1891103,0.10995638296229904,0.7507813575382122,0.06410256773233414
Sondra,4,3,7,7.0,10.0,17.0,4.0,0.4225352112676056,0.47500000000000026,0.014901960784313726,0.27187878,0.13609557,0.029374607207182997,0.5769321957728927,0.3499999940395355
Bertine,2,1,3,3.0,1.0,4.0,5.0,0.32967032967032966,0.36222222222222217,5.88235294117647E-4,0.12283215,0.0822827,0.021972718228586628,0.38430130293884374,0.6666666865348816
Frederick Sells,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09744139,0.0,0.013649124730620039,0.2483930766477365,0.0
Harley Baggott,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09744139,0.0,0.013649124730620039,0.2483930766477365,0.0
Belknap,5,7,12,7.0,10.0,17.0,3.0,0.4918032786885246,0.5722222222222223,0.06261437908496732,0.23710425,0.35126263,0.03630755190143312,0.5546144286743164,0.18888889253139496
Fred Heit,3,0,3,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.20662548,0.0,0.02494147543163469,0.5175307316742901,1.0
Orrin Short,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09744139,0.0,0.013649124730620039,0.2483930766477365,0.0
Earl Newcomb,2,0,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.100955315,0.0,0.019259696311055098,0.25087700741421387,0.0
Jephson,4,4,8,7.0,13.0,20.0,3.0,0.46875,0.5222222222222224,0.013856209150326796,0.25091758,0.23396887,0.032390341050126344,0.5770020511129287,0.4000000059604645
Justice Oberwaltzer,2,1,3,2.0,1.0,3.0,1.0,1.0,1.0,0.01411764705882353,0.13272287,0.0,0.032348540608126176,0.4345450238055943,0.3333333432674408
Mrs. Griffiths,6,2,8,9.0,9.0,18.0,4.0,0.4166666666666667,0.4583333333333336,0.05921568627450981,0.14246705,0.11235291,0.0418919748904179,0.31912403749063367,0.0476190485060215
Duncan McMillan,1,2,3,1.0,6.0,7.0,4.0,0.4166666666666667,0.4583333333333336,0.0,0.09744139,0.13502173,0.013649124730620039,0.2483930766477365,1.0
Grace Marr,1,1,2,1.0,1.0,2.0,5.0,0.32608695652173914,0.3566666666666666,0.0,0.035281483,0.0822827,0.025300630069879093,0.18615194715785796,0.0
John W. Troescher,1,2,3,1.0,3.0,4.0,4.0,0.4225352112676056,0.46388888888888913,0.0,0.035281483,0.19072497,0.025300630069879093,0.18615194715785796,1.0
Mr. Alden,2,3,5,4.0,4.0,8.0,4.0,0.38461538461538464,0.44166666666666665,0.027450980392156862,0.17665043,0.04593991,0.018623457499666998,0.4113754319884428,0.1666666716337204
the clerk,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.079209045,0.0,0.011575546961419922,0.16298235534070624,0.0
Dodge,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.079209045,0.0,0.011575546961419922,0.16298235534070624,0.0
Mrs. Donahue,1,0,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.079209045,0.0,0.011575546961419922,0.16298235534070624,0.0
David Waltham,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.020961192,0.0,0.024406351011102757,0.08406172404242883,0.0
Burton Burleigh,1,1,2,1.0,3.0,4.0,5.0,0.2608695652173913,0.28888888888888886,0.013333333333333334,0.06553353,0.0,0.011010071395305573,0.13309225564665148,0.0
the judge,1,1,2,1.0,1.0,2.0,4.0,0.32608695652173914,0.3555555555555555,0.0,0.06553353,0.0468126,0.011010071395305573,0.13309225564665148,1.0
Burchard,1,2,3,1.0,2.0,3.0,4.0,0.4166666666666667,0.4583333333333336,0.0,0.025390755,0.1591655,0.014924807690339551,0.1359082262911071,1.0
the sheriff at Bridgeburg,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.079209045,0.0,0.011575546961419922,0.16298235534070624,0.0
the mailman,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.008570809,0.0,0.011878290458848532,0.09764663516912789,0.0
Smillie,0,2,2,0.0,2.0,2.0,4.0,0.4246575342465753,0.4650537634408604,0.0,0.0,0.19072497,0.006601214192372964,0.0,1.0
the jury,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0340856228392981,0.10445427633877462,0.0
Samuel Griffiths,0,1,1,0.0,2.0,2.0,4.0,0.40789473684210525,0.4381720430107529,0.0,0.0,0.10844227,0.006601214192372964,0.0,0.0
