Source,Target
Alice,the whole party
Alice,the cur
Alice,Dinah
Alice,Dinah
Alice,Mary Ann
Alice,Dinah
Alice,the Pigeon
Alice,the Pigeon
Alice,a footman in livery
Alice,the Fish - Footman
Alice,the baby
Alice,the little creature
Alice,The poor little thing
Alice,the little creature
Alice,The Cat
Alice,they
Alice,the White Rabbit
Alice,the unfortunate gardeners
Alice,the unfortunate gardeners
Alice,the Queen
Alice,the procession
Alice,the Queen
Alice,the Queen
Alice,the Duchess
Alice,the Queen
Alice,the Mock Turtle
Alice,the Gryphon
Alice,they
Alice,the White Rabbit
Alice,the White Rabbit
Alice,her sister
Alice,her sister
the King,the Queen
the King,the Queen
the Hatter,Alice
the Queen,the three gardeners
the Mock Turtle,Alice
the Mock Turtle,Alice
the Mock Turtle,Alice
the Duchess,Alice
the Gryphon,the Queen
the Hatter,the King
the White Rabbit,Alice
we,the Mock Turtle
the Rabbit,Bill
the cook,the Duchess
the whole party,the Mouse
The Cat,Alice
Five,Seven
her sister,Alice
"the two creatures , who had been jumping about like mad things",us
both footmen,Alice
The other guests,the Queen
The other guests,the Queen
all three,Alice
you,Shakespeare
the snail,the whiting
Serpent,the Pigeon
no one,Alice
Dinah,Alice
them,Alice
