E1,E2,W
Alice,the cur,1.0
Alice,Dinah,3.0
Alice,Mary Ann,1.0
Alice,the Pigeon,2.0
Alice,the Fish - Footman,1.0
Alice,the baby,1.0
Alice,The Cat,1.0
Alice,the White Rabbit,3.0
Alice,the Queen,4.0
Alice,the Duchess,1.0
Alice,the Mock Turtle,1.0
Alice,the Gryphon,1.0
the King,the Queen,2.0
the Hatter,Alice,1.0
the Mock Turtle,Alice,3.0
the Duchess,Alice,1.0
the Gryphon,the Queen,1.0
the Hatter,the King,1.0
the White Rabbit,Alice,1.0
the Rabbit,Bill,1.0
the cook,the Duchess,1.0
The Cat,Alice,1.0
Five,Seven,1.0
the snail,the whiting,1.0
Serpent,the Pigeon,1.0
Dinah,Alice,1.0
