Id,Label,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigen centrality,Clustering Coef
Alice,Alice,11,20,31,13.0,32.0,45.0,2.0,0.9166666666666666,0.9545454545454546,0.16085946573751453,0.0,0.9911094,0.17037629532371074,1.0,0.0016666667070239782
the Duchess,the Duchess,2,1,3,2.0,1.0,3.0,3.0,0.4888888888888889,0.5075757575757577,0.012775842044134728,0.23119476,0.0,0.02896608507826175,0.4113683416492823,0.0
the Mock Turtle,the Mock Turtle,2,1,3,2.0,3.0,5.0,3.0,0.4888888888888889,0.5075757575757577,0.012775842044134728,0.23119476,0.0,0.02896608507826175,0.40729538777156665,0.0
the Queen,the Queen,4,1,5,9.0,1.0,10.0,1.0,1.0,1.0,0.009872241579558653,0.25787875,0.0,0.0593136094024756,0.5838648783347696,0.05000000074505806
the whole party,the whole party,1,1,2,1.0,1.0,2.0,1.0,1.0,1.0,0.008130081300813009,0.21982174,0.0,0.01898385411642669,0.40729538777156665,0.0
the King,the King,1,1,2,1.0,2.0,3.0,2.0,0.6666666666666666,0.75,5.807200929152149E-4,0.0,0.057195865,0.01672854681381337,0.0040729538777156665,0.0
the cur,the cur,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.21982174,0.0,0.01898385411642669,0.40729538777156665,0.0
Dinah,Dinah,1,1,2,3.0,1.0,4.0,3.0,0.4888888888888889,0.5075757575757577,0.0,0.21982174,0.0,0.01898385411642669,0.40729538777156665,0.0
Mary Ann,Mary Ann,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.21982174,0.0,0.01898385411642669,0.40729538777156665,0.0
the Pigeon,the Pigeon,2,0,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.23119476,0.0,0.02896608507826175,0.4113683416492823,0.0
a footman in livery,a footman in livery,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.21982174,0.0,0.01898385411642669,0.40729538777156665,0.0
the Fish - Footman,the Fish - Footman,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.21982174,0.0,0.01898385411642669,0.40729538777156665,0.0
the baby,the baby,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.21982174,0.0,0.01898385411642669,0.40729538777156665,0.0
the little creature,the little creature,1,0,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.21982174,0.0,0.01898385411642669,0.40729538777156665,0.0
The poor little thing,The poor little thing,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.21982174,0.0,0.01898385411642669,0.40729538777156665,0.0
The Cat,The Cat,1,1,2,1.0,1.0,2.0,3.0,0.4888888888888889,0.5075757575757577,0.0,0.21982174,0.0,0.01898385411642669,0.40729538777156665,0.0
they,they,1,0,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.21982174,0.0,0.01898385411642669,0.40729538777156665,0.0
the White Rabbit,the White Rabbit,1,1,2,3.0,1.0,4.0,3.0,0.4888888888888889,0.5075757575757577,0.0,0.21982174,0.0,0.01898385411642669,0.40729538777156665,0.0
the unfortunate gardeners,the unfortunate gardeners,1,0,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.21982174,0.0,0.01898385411642669,0.40729538777156665,0.0
the procession,the procession,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.21982174,0.0,0.01898385411642669,0.40729538777156665,0.0
the Gryphon,the Gryphon,1,1,2,1.0,1.0,2.0,2.0,0.6666666666666666,0.75,0.0,0.21982174,0.057195865,0.01898385411642669,0.40729538777156665,0.5
her sister,her sister,1,1,2,2.0,1.0,3.0,3.0,0.4888888888888889,0.5075757575757577,0.0,0.21982174,0.0,0.01898385411642669,0.40729538777156665,0.0
the Hatter,the Hatter,0,2,2,0.0,2.0,2.0,3.0,0.5,0.5277777777777778,0.0,0.0,0.0,0.011737431332895839,0.0,0.0
the three gardeners,the three gardeners,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06215302028877502,0.2404733812770424,0.0
the Rabbit,the Rabbit,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.011737431332895839,0.0,0.0
Bill,Bill,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217196622947309,0.0040729538777156665,0.0
the cook,the cook,0,1,1,0.0,1.0,1.0,4.0,0.3382352941176471,0.3623188405797101,0.0,0.0,0.051277522,0.011737431332895839,0.0,0.0
the Mouse,the Mouse,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027866256939416828,0.16224232956073018,0.0
Five,Five,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.011737431332895839,0.0,0.0
Seven,Seven,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217196622947309,0.0040729538777156665,0.0
"the two creatures , who had been jumping about like mad things","the two creatures , who had been jumping about like mad things",0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.011737431332895839,0.0,0.0
both footmen,both footmen,0,1,1,0.0,1.0,1.0,3.0,0.48936170212765956,0.5072463768115942,0.0,0.0,0.0,0.011737431332895839,0.0,0.0
