E1,E2,W
Dorian,Basil,9.0
Dorian,Lord Henry,9.0
Dorian,Sibyl,7.0
Dorian,the lad,1.0
Dorian,the house - keeper,1.0
Dorian,the old lady,1.0
Dorian,Mr. Hubbard,1.0
Dorian,Lord Staveley,1.0
Dorian,Alan,4.0
Dorian,the duchess,1.0
Dorian,the policeman,1.0
Lord Henry,Basil,7.0
Lord Henry,Dorian,17.0
Lord Henry,Parker,1.0
Lord Henry,Aunt Agatha,1.0
Lord Henry,Sibyl,2.0
Lord Henry,Lady Ruxton,1.0
Lord Henry,Lord Grotrian,1.0
Lord Henry,the duchess,1.0
Basil,Lord Henry,7.0
Basil,Dorian,12.0
Basil,the lad,2.0
Basil,Lord Gloucester,1.0
Sibyl,Rosalind,1.0
Sibyl,Dorian,1.0
Sibyl,Jim,1.0
the lad,Dorian,2.0
Alan,Dorian,4.0
Alan,Hetty,1.0
Basil,Lady Brandon,1.0
Jim,Sibyl,1.0
Jim,Dorian,2.0
Lady Narborough,Dorian,4.0
Lady Narborough,Lord Henry,1.0
Lord Henry's uncle,Lord Henry,1.0
Lady Brandon,Basil,1.0
Mr. Isaacs,Sibyl,1.0
Sir Thomas,Mr. Erskine,1.0
Adrian Singleton,Dorian,1.0
the duchess,Lord Henry,1.0
Francis,Dorian,1.0
Lord Staveley,Dorian,1.0
Monmouth,Lord Henry,1.0
Monmouth,the duchess,1.0
the butler,the lad,1.0
Kelso 's grandson,Lord Henry's uncle,1.0
