Id,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
Dorian,11,12,23,46.0,37.0,83.0,2.0,0.6896551724137931,0.775,0.267816091954023,0.49897373,0.6348591,0.15233115576194275,1.0,0.125
Basil,4,6,10,18.0,24.0,42.0,3.0,0.5263157894736842,0.6000000000000001,0.06149425287356322,0.29670072,0.32197264,0.0507012883160406,0.62181686453158,0.4000000059604645
Lord Henry,6,8,14,20.0,31.0,51.0,3.0,0.6060606060606061,0.6916666666666667,0.15804597701149425,0.38313684,0.48529634,0.09547983245733853,0.5526033021728873,0.06363636255264282
Sibyl,4,3,7,11.0,3.0,14.0,3.0,0.45454545454545453,0.5166666666666666,0.05862068965517241,0.35276702,0.14147836,0.056941136347309074,0.45455369421291386,0.15000000596046448
the lad,3,1,4,4.0,2.0,6.0,3.0,0.4166666666666667,0.45,0.022988505747126436,0.2534404,0.1240029,0.04159298484523427,0.43176657757041587,0.3333333432674408
the house - keeper,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15777257,0.0,0.023428313691300315,0.2670791806205349,0.0
the old lady,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15777257,0.0,0.023428313691300315,0.2670791806205349,0.0
Mr. Hubbard,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15777257,0.0,0.023428313691300315,0.2670791806205349,0.0
Lord Staveley,1,1,2,1.0,1.0,2.0,3.0,0.4166666666666667,0.45,0.0,0.15777257,0.1240029,0.023428313691300315,0.2670791806205349,0.0
Alan,1,2,3,4.0,5.0,9.0,3.0,0.43478260869565216,0.4833333333333333,0.01954022988505747,0.15777257,0.13216546,0.023428313691300315,0.2670791806205349,0.0
the duchess,3,1,4,3.0,1.0,4.0,4.0,0.38461538461538464,0.4208333333333333,0.0,0.3219209,0.095215596,0.03905960641642301,0.4196109238295668,0.5
the policeman,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15777257,0.0,0.023428313691300315,0.2670791806205349,0.0
Parker,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12060386,0.0,0.022851061028821243,0.1498609514028266,0.0
Aunt Agatha,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12060386,0.0,0.022851061028821243,0.1498609514028266,0.0
Lady Ruxton,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12060386,0.0,0.022851061028821243,0.1498609514028266,0.0
Lord Grotrian,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12060386,0.0,0.022851061028821243,0.1498609514028266,0.0
Lord Gloucester,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.080015324,0.0,0.019960236391845777,0.16201660514367544,0.0
Rosalind,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03515962,0.0,0.029028347790857993,0.12323471436204678,0.0
Jim,1,2,3,1.0,3.0,4.0,3.0,0.4444444444444444,0.4916666666666667,0.0,0.03515962,0.21167113,0.029028347790857993,0.12323471436204678,1.0
Hetty,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03284522,0.0,0.02280736155976649,0.07062057251320816,0.0
Lady Brandon,1,1,2,1.0,1.0,2.0,4.0,0.3508771929824561,0.3874999999999999,0.0,0.080015324,0.07373485,0.019960236391845777,0.16201660514367544,0.0
Lady Narborough,0,2,2,0.0,5.0,5.0,3.0,0.4666666666666667,0.5079365079365081,0.0,0.0,0.2192185,0.012643971369485271,0.0,1.0
Lord Henry's uncle,1,1,2,1.0,1.0,2.0,4.0,0.3888888888888889,0.4246031746031746,0.02413793103448276,0.0,0.095215596,0.023492377501058717,0.0026707918062053486,0.0
Mr. Isaacs,0,1,1,0.0,1.0,1.0,4.0,0.3230769230769231,0.3611111111111111,0.0,0.0,0.08766822,0.012643971369485271,0.0,0.0
Sir Thomas,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.012643971369485271,0.0,0.0
Mr. Erskine,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023492377501058717,0.0026707918062053486,0.0
Adrian Singleton,0,1,1,0.0,1.0,1.0,3.0,0.42,0.45238095238095244,0.0,0.0,0.1240029,0.012643971369485271,0.0,0.0
Francis,0,1,1,0.0,1.0,1.0,3.0,0.42,0.45238095238095244,0.0,0.0,0.1240029,0.012643971369485271,0.0,0.0
Monmouth,0,2,2,0.0,2.0,2.0,4.0,0.39622641509433965,0.4484126984126985,0.0,0.0,0.17521806,0.012643971369485271,0.0,1.0
the butler,0,1,1,0.0,1.0,1.0,4.0,0.30434782608695654,0.33730158730158727,0.0,0.0,0.062983975,0.012643971369485271,0.0,0.0
Kelso 's grandson,0,1,1,0.0,1.0,1.0,5.0,0.2894736842105263,0.3234848484848485,0.0,0.0,0.0,0.012643971369485271,0.0,0.0
