Id,Label,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigen centrality,Clustering Coef
Dorian,Dorian,32,33,65,74.0,62.0,136.0,4.0,0.5797101449275363,0.6843750000000003,0.17464157706093192,0.5319046,0.6252094,0.11534082717527597,1.0,0.013877551071345806
Lord Henry,Lord Henry,17,26,43,33.0,50.0,83.0,4.0,0.5333333333333333,0.6312500000000003,0.09011028398125175,0.287151,0.48575094,0.04316288537424536,0.46374890351174375,0.017307693138718605
Sibyl,Sibyl,8,6,14,16.0,7.0,23.0,4.0,0.39603960396039606,0.445833333333333,0.027151916184174243,0.21344581,0.1144427,0.02141831349268666,0.34072725378498303,0.05303030461072922
the lad,the lad,4,4,8,5.0,5.0,10.0,4.0,0.4020100502512563,0.43958333333333305,0.018886131789357608,0.137773,0.097709574,0.010592172919418583,0.2781717883074988,0.0714285746216774
us,us,6,1,7,7.0,1.0,8.0,5.0,0.3686635944700461,0.3972916666666661,0.01753515301902399,0.18932363,0.08002727,0.019644518178429465,0.36886149729298506,0.13333334028720856
the man,the man,5,5,10,9.0,6.0,15.0,4.0,0.43243243243243246,0.4739583333333335,0.014881444720154397,0.15538816,0.14791222,0.01600962977456105,0.40856718275217496,0.1944444477558136
Basil,Basil,4,9,13,13.0,25.0,38.0,4.0,0.45714285714285713,0.5093750000000004,0.01268817204301075,0.20069987,0.2458427,0.011226946161825752,0.3652942895742609,0.145454540848732
I,I,2,5,7,2.0,5.0,7.0,4.0,0.43956043956043955,0.478125,0.009432037496553627,0.08778408,0.1373163,0.0065457221320662186,0.1536263515285243,0.1666666716337204
you,you,3,3,6,3.0,7.0,10.0,5.0,0.3791469194312796,0.4170833333333328,0.00934656741108354,0.03456196,0.099043496,0.014580528462200388,0.1186217461150239,0.20000000298023224
Alan,Alan,3,3,6,6.0,6.0,12.0,5.0,0.3755868544600939,0.4139583333333329,0.008933002481389578,0.11901343,0.083822146,0.011027917069832444,0.2832749120910494,0.10000000149011612
the painter,the painter,3,3,6,5.0,5.0,10.0,5.0,0.3864734299516908,0.4233333333333329,0.008850289495450785,0.1711117,0.11277626,0.009654041761728419,0.31446445915636345,0.5
the girl,the girl,3,3,6,5.0,6.0,11.0,5.0,0.3827751196172249,0.4202083333333329,0.008126550868486352,0.11149064,0.087201186,0.012437535577978852,0.22938254670006192,0.0833333358168602
they,they,2,1,3,3.0,2.0,5.0,5.0,0.37037037037037035,0.3993749999999995,0.006617038875103391,0.022781651,0.08002727,0.008393879010738233,0.08334949056294032,0.3333333432674408
Jim,Jim,3,3,6,3.0,4.0,7.0,4.0,0.3883495145631068,0.42499999999999966,0.006213123793768951,0.021301456,0.1179187,0.009595093371577245,0.07618758861302687,0.15000000596046448
women,women,2,2,4,2.0,3.0,5.0,6.0,0.27586206896551724,0.2991666666666667,0.006120760959470637,0.07477593,0.029144257,0.006746256773869225,0.10062909935379143,0.0833333358168602
My dear fellow,My dear fellow,3,2,5,3.0,2.0,5.0,1.0,1.0,1.0,0.00587262200165426,0.11262066,0.0,0.007806536409402198,0.17217698512643162,0.10000000149011612
his companion,his companion,2,1,3,2.0,1.0,3.0,6.0,0.2768166089965398,0.29604166666666665,0.005190239867659223,0.096244,0.005199991,0.008306235643329562,0.20459817800020302,0.1666666716337204
Mohammed,Mohammed,2,2,4,2.0,2.0,4.0,6.0,0.2751677852348993,0.29837398373983737,0.0034739454094292804,0.0044888402,0.0035069806,0.006560843945623741,0.004051449069310951,0.0
the duchess,the duchess,3,2,5,3.0,3.0,6.0,5.0,0.3076923076923077,0.3322916666666666,0.003411910669975186,0.17767055,0.02392027,0.008491648471575047,0.30320155281933897,0.30000001192092896
Lady Narborough,Lady Narborough,1,3,4,1.0,6.0,7.0,4.0,0.4205128205128205,0.45426829268292684,0.003349875930521092,0.0022302784,0.12608445,0.004109528664511646,0.0020257245346554753,0.1666666716337204
the old gentleman,the old gentleman,1,1,2,1.0,1.0,2.0,5.0,0.35064935064935066,0.379423868312757,0.003349875930521092,0.0,0.04320307,0.005335186305067694,0.0020257245346554753,0.0
she,she,1,2,3,1.0,2.0,3.0,5.0,0.37272727272727274,0.405894308943089,0.003349875930521092,0.0,0.08188076,0.008354650448657927,0.003877579322255787,0.0
their,their,2,1,3,2.0,1.0,3.0,6.0,0.2711864406779661,0.28812499999999996,0.0033085194375516956,0.096244,0.028484533,0.008306235643329562,0.20459817800020302,0.3333333432674408
that woman,that woman,2,1,3,2.0,1.0,3.0,5.0,0.3686635944700461,0.3972916666666661,0.0032671629445822996,0.096244,0.08002727,0.010831402675133075,0.24212827985990934,0.5
the woman,the woman,2,1,3,2.0,2.0,4.0,1.0,1.0,1.0,0.00293631100082713,0.015041296,0.0,0.01058123101136953,0.06578880248681741,0.0
her brother,her brother,2,2,4,2.0,2.0,4.0,5.0,0.2888086642599278,0.3168749999999999,0.0029225255031706645,0.038401175,0.032857597,0.006715344700648026,0.05025782782144524,0.1666666716337204
this man,this man,1,1,2,1.0,1.0,2.0,1.0,1.0,1.0,0.0028949545078577337,0.014700815,0.0,0.005134651663264688,0.055022976709388355,0.0
your servant,your servant,1,1,2,1.0,1.0,2.0,1.0,1.0,1.0,0.0028949545078577337,0.094065376,0.0,0.005854920362217467,0.20257245346554756,0.0
this girl,this girl,2,1,3,4.0,1.0,5.0,1.0,1.0,1.0,0.0028949545078577337,0.16714863,0.0,0.007265990831018998,0.3011758282846835,0.3333333432674408
Lady Brandon,Lady Brandon,1,2,3,1.0,2.0,3.0,6.0,0.28169014084507044,0.3056249999999999,0.0028535980148883377,0.016967662,0.026340734,0.0056191687142063025,0.062092736754922113,0.0
the shy frightened boy he had met in Basil Hallward 's studio,the shy frightened boy he had met in Basil Hallward 's studio,1,2,3,1.0,2.0,3.0,5.0,0.37209302325581395,0.4056249999999995,0.0028535980148883377,0.094065376,0.08188076,0.005854920362217467,0.20257245346554756,0.0
Prince Charming,Prince Charming,1,1,2,2.0,1.0,3.0,2.0,0.6666666666666666,0.75,2.8949545078577337E-4,0.013119784,0.002263026,0.006407686941289225,0.04612224469448705,0.0
Kelso,Kelso,1,2,3,1.0,2.0,3.0,1.0,1.0,1.0,8.271298593879239E-5,0.0,0.0,0.005335186305067694,0.0020257245346554753,0.0
a sailor,a sailor,1,1,2,1.0,1.0,2.0,1.0,1.0,1.0,4.1356492969396195E-5,0.00665063,0.0,0.004109528664511646,0.0020257245346554753,0.0
everybody,everybody,1,1,2,1.0,1.0,2.0,1.0,1.0,1.0,4.1356492969396195E-5,0.0,0.0026505776,0.005335186305067694,0.0020257245346554753,0.0
You,You,0,1,1,0.0,1.0,1.0,6.0,0.2793103448275862,0.2981481481481481,0.0,0.0,0.016774233,0.0028838710239555984,0.0,0.0
We,We,0,1,1,0.0,1.0,1.0,7.0,0.2183288409703504,0.23468547912992335,0.0,0.0,0.011250352,0.0028838710239555984,0.0,0.0
we,we,0,2,2,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0028838710239555984,0.0,0.0
Uncle George,Uncle George,0,1,1,0.0,1.0,1.0,2.0,0.6666666666666666,0.75,0.0,0.0,0.0,0.0028838710239555984,0.0,0.0
two young men in evening dress,two young men in evening dress,0,1,1,0.0,1.0,1.0,5.0,0.3698630136986301,0.39855967078189247,0.0,0.0,0.08002727,0.0028838710239555984,0.0,0.0
"Two gentlemen , who were passing in the square below","Two gentlemen , who were passing in the square below",0,2,2,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0028838710239555984,0.0,0.0
the young man,the young man,0,2,2,0.0,2.0,2.0,5.0,0.38028169014084506,0.41296296296296253,0.0,0.0,0.110223405,0.0028838710239555984,0.0,1.0
the younger man,the younger man,0,2,2,0.0,3.0,3.0,5.0,0.37272727272727274,0.405894308943089,0.0,0.0,0.08188076,0.0028838710239555984,0.0,0.0
the world,the world,0,1,1,0.0,1.0,1.0,6.0,0.2755102040816326,0.2948559670781893,0.0,0.0,0.017906068,0.0028838710239555984,0.0,0.0
The son,The son,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0028838710239555984,0.0,0.0
the servants,the servants,0,1,1,0.0,1.0,1.0,5.0,0.3698630136986301,0.39855967078189247,0.0,0.0,0.08002727,0.0028838710239555984,0.0,0.0
the Radical member,the Radical member,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011250352,0.0028838710239555984,0.0,0.0
"the low - comedian , who had introduced gags of his own and was on most friendly terms with the pit","the low - comedian , who had introduced gags of his own and was on most friendly terms with the pit",0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0028838710239555984,0.0,0.0
The little duchess,The little duchess,0,1,1,0.0,1.0,1.0,5.0,0.35064935064935066,0.379423868312757,0.0,0.0,0.04320307,0.0028838710239555984,0.0,0.0
Their,Their,0,1,1,0.0,1.0,1.0,5.0,0.30451127819548873,0.32304526748971185,0.0,0.0,0.0233788,0.0028838710239555984,0.0,0.0
the gods,the gods,0,1,1,0.0,1.0,1.0,5.0,0.2862190812720848,0.3078189300411522,0.0,0.0,0.032113817,0.0028838710239555984,0.0,0.0
the fat Jew manager who met them at the door,the fat Jew manager who met them at the door,0,1,1,0.0,1.0,1.0,7.0,0.2154255319148936,0.2299529688418575,0.0,0.0,0.014480312,0.0028838710239555984,0.0,0.0
The elder man,The elder man,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0028838710239555984,0.0,0.0
the butler,the butler,0,1,1,0.0,1.0,1.0,5.0,0.2892857142857143,0.3072016460905349,0.0,0.0,0.020728527,0.0028838710239555984,0.0,0.0
the boy,the boy,0,1,1,0.0,1.0,1.0,5.0,0.35064935064935066,0.379423868312757,0.0,0.0,0.04320307,0.0028838710239555984,0.0,0.0
that man,that man,0,1,1,0.0,1.0,1.0,5.0,0.35064935064935066,0.379423868312757,0.0,0.0,0.04320307,0.0028838710239555984,0.0,0.0
so many gentlemen in London,so many gentlemen in London,0,1,1,0.0,1.0,1.0,5.0,0.3698630136986301,0.39855967078189247,0.0,0.0,0.08002727,0.0028838710239555984,0.0,0.0
Sir Thomas,Sir Thomas,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0028838710239555984,0.0,0.0
sir,sir,0,2,2,0.0,2.0,2.0,5.0,0.3547008547008547,0.38835341365461834,0.0,0.0,0.044203687,0.0028838710239555984,0.0,0.0
people,people,0,1,1,0.0,1.0,1.0,5.0,0.3698630136986301,0.39855967078189247,0.0,0.0,0.08002727,0.0028838710239555984,0.0,0.0
one of the gardeners,one of the gardeners,0,1,1,0.0,1.0,1.0,5.0,0.35064935064935066,0.379423868312757,0.0,0.0,0.04320307,0.0028838710239555984,0.0,0.0
one,one,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0028838710239555984,0.0,0.0
Nobody,Nobody,0,1,1,0.0,1.0,1.0,2.0,0.6,0.6666666666666666,0.0,0.0,0.01694425,0.0028838710239555984,0.0,0.0
my son,my son,0,2,2,0.0,2.0,2.0,5.0,0.2988929889298893,0.32469135802469123,0.0,0.0,0.02393342,0.0028838710239555984,0.0,0.0
My dear boy,My dear boy,0,1,1,0.0,1.0,1.0,5.0,0.2862190812720848,0.3078189300411522,0.0,0.0,0.032113817,0.0028838710239555984,0.0,0.0
my dear,my dear,0,2,2,0.0,2.0,2.0,5.0,0.3007246376811594,0.323293172690763,0.0,0.0,0.014823639,0.0028838710239555984,0.0,0.0
my aunt,my aunt,0,1,1,0.0,2.0,2.0,5.0,0.35064935064935066,0.379423868312757,0.0,0.0,0.04320307,0.0028838710239555984,0.0,0.0
Mrs. Vane,Mrs. Vane,0,2,2,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0028838710239555984,0.0,0.0
Mr. Isaacs,Mr. Isaacs,0,2,2,0.0,2.0,2.0,5.0,0.28825622775800713,0.3160493827160494,0.0,0.0,0.06059835,0.0028838710239555984,0.0,0.0
Mother,Mother,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0028838710239555984,0.0,0.0
Monmouth,Monmouth,0,2,2,0.0,2.0,2.0,5.0,0.3584070796460177,0.3917695473251027,0.0,0.0,0.06993435,0.0028838710239555984,0.0,0.5
men,men,0,2,2,0.0,2.0,2.0,6.0,0.27759197324414714,0.3028112449799197,0.0,0.0,0.029159898,0.0028838710239555984,0.0,0.0
Lord Fermor,Lord Fermor,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0028838710239555984,0.0,0.0
Kelso 's grandson,Kelso 's grandson,0,1,1,0.0,1.0,1.0,6.0,0.26198083067092653,0.27926829268292686,0.0,0.0,0.0,0.0028838710239555984,0.0,0.0
his valet,his valet,0,2,2,0.0,3.0,3.0,4.0,0.4175257731958763,0.44753086419753085,0.0,0.0,0.12323034,0.0028838710239555984,0.0,1.0
his mother,his mother,0,1,1,0.0,1.0,1.0,5.0,0.28222996515679444,0.3006172839506172,0.0,0.0,0.0032048933,0.0028838710239555984,0.0,0.0
Her grandfather,Her grandfather,0,1,1,0.0,1.0,1.0,2.0,0.6,0.6666666666666666,0.0,0.0,0.0,0.0028838710239555984,0.0,0.0
he,he,0,1,1,0.0,2.0,2.0,5.0,0.3698630136986301,0.39855967078189247,0.0,0.0,0.08002727,0.0028838710239555984,0.0,0.0
Gladys,Gladys,0,1,1,0.0,1.0,1.0,5.0,0.35064935064935066,0.379423868312757,0.0,0.0,0.04320307,0.0028838710239555984,0.0,0.0
Francis,Francis,0,1,1,0.0,1.0,1.0,5.0,0.3698630136986301,0.39855967078189247,0.0,0.0,0.08002727,0.0028838710239555984,0.0,0.0
Death,Death,0,1,1,0.0,2.0,2.0,5.0,0.2862190812720848,0.3078189300411522,0.0,0.0,0.032113817,0.0028838710239555984,0.0,0.0
