Id,Label,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigen centrality,Clustering Coef
Dorian,Dorian,9,6,15,40.0,27.0,67.0,2.0,0.6363636363636364,0.7142857142857143,0.2391304347826087,0.7097897,0.36583138,0.1826011748778841,1.0,0.06666667014360428
Lord Henry,Lord Henry,5,7,12,18.0,29.0,47.0,3.0,0.6363636363636364,0.7380952380952381,0.15019762845849802,0.32209447,0.5661306,0.0939844825542426,0.5698642510116951,0.0555555559694767
Sibyl,Sibyl,5,3,8,13.0,3.0,16.0,3.0,0.45161290322580644,0.5357142857142857,0.09683794466403162,0.41459516,0.23597547,0.10236674141799873,0.6618679171846463,0.10000000149011612
Alan,Alan,1,2,3,4.0,5.0,9.0,3.0,0.42424242424242425,0.488095238095238,0.025691699604743084,0.102520436,0.21586388,0.04273968521343832,0.35932383047861366,0.0
Basil,Basil,2,3,5,11.0,16.0,27.0,3.0,0.5,0.5714285714285714,0.025691699604743084,0.26117265,0.31382045,0.05415308532926819,0.5672715229738563,0.3333333432674408
Sir Thomas,Sir Thomas,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.016888226411909568,0.0,0.0
Mr. Isaacs,Mr. Isaacs,0,1,1,0.0,1.0,1.0,4.0,0.32608695652173914,0.3777777777777778,0.0,0.0,0.11618598,0.016888226411909568,0.0,0.0
Monmouth,Monmouth,0,1,1,0.0,1.0,1.0,4.0,0.40540540540540543,0.44999999999999996,0.0,0.0,0.09026362,0.016888226411909568,0.0,0.0
Lady Narborough,Lady Narborough,0,2,2,0.0,5.0,5.0,3.0,0.46875,0.5222222222222221,0.0,0.0,0.2891748,0.016888226411909568,0.0,1.0
Gladys,Gladys,0,1,1,0.0,1.0,1.0,4.0,0.40540540540540543,0.44999999999999996,0.0,0.0,0.09026362,0.016888226411909568,0.0,0.0
Francis,Francis,0,1,1,0.0,1.0,1.0,3.0,0.40540540540540543,0.4444444444444443,0.0,0.0,0.19891118,0.016888226411909568,0.0,0.0
Death,Death,0,1,1,0.0,2.0,2.0,4.0,0.32608695652173914,0.3777777777777778,0.0,0.0,0.11618598,0.016888226411909568,0.0,0.0
Adrian Singleton,Adrian Singleton,0,1,1,0.0,1.0,1.0,3.0,0.40540540540540543,0.4444444444444443,0.0,0.0,0.19891118,0.016888226411909568,0.0,0.0
Parker,Parker,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1586522,0.0,0.028301626527739435,0.20794769249524267,0.0
Lord Grotrian,Lord Grotrian,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1586522,0.0,0.028301626527739435,0.20794769249524267,0.0
Lady Ruxton,Lady Ruxton,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1586522,0.0,0.028301626527739435,0.20794769249524267,0.0
Aunt Agatha,Aunt Agatha,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1586522,0.0,0.028301626527739435,0.20794769249524267,0.0
Mr. Erskine,Mr. Erskine,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031245023163072143,0.0035932383047861363,0.0
Lord Gloucester,Lord Gloucester,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08794491,0.0,0.032241031874807397,0.19976070561872303,0.0
Hetty,Hetty,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.060493607,0.0,0.03506762008099378,0.12648702956535363,0.0
Mr. Hubbard,Mr. Hubbard,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.102520436,0.0,0.04273968521343832,0.35932383047861366,0.0
Lord Staveley,Lord Staveley,1,1,2,1.0,1.0,2.0,3.0,0.4,0.44047619047619035,0.0,0.102520436,0.19891118,0.04273968521343832,0.35932383047861366,0.0
Rosalind,Rosalind,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06612967,0.0,0.04590473382759193,0.24112791023975022,0.0
Jim,Jim,1,2,3,1.0,3.0,4.0,3.0,0.4375,0.4999999999999999,0.0,0.06612967,0.31509715,0.04590473382759193,0.24112791023975022,1.0
