,HP1,HP2,HP3,HP4,HP5,HP6,HP7,HP0,N1,N2,N3,GG,DG,Alice,PP,SS,AT1,AT2,AT3,AT0
Nodes,49,51,52,76,83,89,99,0.0,13,19,17,22,31,23,32,22,23,41,52,102
Links,252,255,326,590,575,538,580,0.0,41,47,41,150,122,37,156,161,103,263,191,557
Density,0.05,0.048,0.058,0.043,0.03,0.026,0.025,0.0,0.141,0.111,0.11,0.1,0.052,0.051,0.076,0.128,0.065,0.038,0.033,0.017
Average Degree,2.388,2.412,2.981,3.197,2.494,2.292,2.414,0.0,1.692,2,1.765,2.091,1.548,1.13,2.344,2.682,1.435,1.512,1.673,1.676
Average weighted degree,5.204,5,6.269,7.763,6.928,6.045,5.859,0.0,3.154,10.105,2.412,6.818,3.935,1.609,4.875,7.318,4.478,6.415,3.673,5.461
Average shortest path,2.4087862993298583,2.372348782403771,2.355176211,2.4607787810383748,2.4458631256384065,2.6650508967523026,2.6509186351706036,0.0,2.9019607843137254,2.25625,2.1653543307086616,2.209016393442623,2.4405405405405407,1.8571428571428572,2.2899628252788102,2.0758122743682312,2.4525862068965516,2.3820816864295127,2.6500453309156846,2.683809523809524
Diameter,5,5,5,5,5,6,8,0.0,7,5,4,4,5,3,5,4,5,5,5,5
Average clustering coef,0.275,0.271,0.399,0.369,0.328,0.268,0.262,0.0,0.055,0.177,0.142,0.261,0.147,0.029,0.292,0.354,0.053,0.226,0.218,0.223
Betweenness Centralization,0.6112416861300309,0.5777701875022516,0.7202624466775196,0.5507774383548445,0.0,0.4282588599727256,0.5433710276299779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Closeness Centralization,0.3921419966679482,0.38713102040816294,0.526179305548649,0.43403929611478115,0.0,0.3586268352750528,0.4722640408066088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Degree Centralization,0.9254901960784326,0.9395918367346945,1.1214177978883846,0.9950877192982441,0.0,0.7720741901776385,0.9709338280766848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eigenvector Centralization,0.7632135646922247,0.6832647098776765,0.6146586488543216,0.656144801746198,0.0,0.6124727347122972,0.718885162243596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp of total degree distribution,2.0647105832832198,1.9664763325450565,2.637000668428948,2.8830826367032634,0.0,2.1023149653310256,2.6175762045380715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4404013840398515
Exp of in-degree distribution,2.7765976325507795,2.297682227990875,2.203044312747535,2.8989418899331914,0.0,2.5379224372354763,2.6883128533661402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.350068323469988
Exp of out-degree distribution,2.2906850203825857,2.6409584907580173,2.1923942333808344,2.0686128449533907,0.0,3.0987871111936993,2.5200602146158015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7079447717738914
