Source,Target
0,347
0,364
0,374
0,145
0,151
0,153
0,152
0,153
0,155
0,152
0,152
0,544
0,536
0,153
0,2101
0,626
0,777
0,912
0,926
0,926
0,160
0,160
0,160
0,160
0,145
0,152
0,1094
0,1099
0,152
0,1123
0,2105
0,153
0,1123
0,1136
0,145
0,145
0,160
0,760
0,760
0,760
0,145
0,152
0,152
0,152
0,145
0,145
0,1205
0,1205
0,145
0,145
0,283
0,152
0,2557
0,160
0,145
0,145
0,145
0,2228
0,145
0,145
0,152
0,2136
0,477
0,145
0,145
0,145
0,145
0,1923
0,311
0,311
0,1932
0,145
0,1956
0,1956
0,1971
0,160
0,160
0,153
0,2020
0,2020
0,2020
145,0
145,2066
145,596
145,2066
145,0
145,2228
145,0
145,0
145,0
145,0
145,1180
145,0
145,0
145,0
145,152
145,0
145,666
145,1369
145,1388
145,0
145,152
145,2257
145,1442
145,1442
145,0
145,153
145,152
145,152
145,275
145,2066
145,152
145,152
145,152
145,152
145,152
145,152
145,152
145,0
152,2103
152,156
152,164
152,0
152,0
152,153
152,153
152,493
152,145
152,0
152,1466
152,145
152,1483
152,145
152,145
152,145
152,153
152,145
152,1538
152,2087
152,145
152,145
152,145
152,145
152,145
152,145
152,153
152,2228
152,153
152,1887
153,0
153,0
153,155
153,152
153,0
153,164
153,652
153,152
153,145
153,160
153,145
153,164
153,1538
153,1549
153,145
153,145
153,168
153,168
153,168
153,0
160,0
160,777
160,786
160,152
160,0
160,0
164,2141
164,153
163,153
305,163
305,163
305,164
305,576
305,159
305,830
169,0
169,2185
168,169
275,0
596,0
155,514
173,0
173,164
311,0
2228,145
411,576
411,304
174,176
576,0
576,159
834,155
834,477
495,498
2557,152
151,160
784,160
784,160
417,2101
417,283
760,160
868,0
1538,153
2424,145
2424,145
2424,145
666,145
1370,596
1937,0
2136,0
2136,153
765,764
1948,312
304,153
312,1948
447,0
2092,0
1136,145
1061,0
1061,0
1061,145
1532,164
319,0
2186,168
1842,145
2141,145
1620,896
474,0
474,153
466,145
1205,0
1295,0
1295,0
1618,164
1761,0
1761,145
1761,1322
458,152
620,145
2221,784
2319,273
1121,152
1181,0
287,283
298,2557
446,472
717,0
717,160
809,808
277,0
1710,152
1786,626
1789,626
1789,626
2705,2703
