Source,Target
I,this great - uncle
I,a young man at the office
I,Some man
I,Gatsby
I,Tom
I,Tom
I,Daisy
I,Tom
I,Jordan
I,Daisy
I,Daisy
I,Tom Buchanan ’s mistress
I,he
I,Tom
I,each other
I,The sister
I,the host
I,the other clerks
I,romantic women from the crowd
I,romantic women from the crowd
I,Jordan
I,Jordan
I,Jordan
I,Jordan
I,Gatsby
I,Daisy
I,They
I,him
I,Daisy
I,them
I,a girl
I,Tom
I,them
I,you
I,Gatsby
I,Gatsby
I,Jordan
I,the girl
I,the girl
I,the girl
I,Gatsby
I,Daisy
I,Daisy
I,Daisy
I,Gatsby
I,Gatsby
I,them
I,them
I,Gatsby
I,Gatsby
I,Cody
I,Daisy
I,A man named Biloxi
I,Jordan
I,Gatsby
I,Gatsby
I,Gatsby
I,I
I,Gatsby
I,Gatsby
I,Daisy
I,somebody
I,the butler
I,Gatsby
I,Gatsby
I,Gatsby
I,Gatsby
I,Some little boys
I,Mr. Gatz
I,Mr. Gatz
I,a few people
I,Gatsby
I,The minister
I,The minister
I,the man with owl - eyed glasses whom I had found marvelling over Gatsby ’s books in the library one night three months before
I,Jordan
I,Jordan
I,Tom
I,him
I,him
I,him
Gatsby,I
Gatsby,a man
Gatsby,the man
Gatsby,a man
Gatsby,I
Gatsby,I
Gatsby,I
Gatsby,I
Gatsby,I
Gatsby,I
Gatsby,"a man in a raincoat , dragging a lawn - mower"
Gatsby,I
Gatsby,I
Gatsby,I
Gatsby,Daisy
Gatsby,I
Gatsby,women
Gatsby,We
Gatsby,him
Gatsby,I
Gatsby,Daisy
Gatsby,sir
Gatsby,every servant in his house
Gatsby,every servant in his house
Gatsby,I
Gatsby,Tom
Gatsby,Daisy
Gatsby,Daisy
Gatsby,Meyer Wolfsheim
Gatsby,a man
Gatsby,Daisy
Gatsby,Daisy
Gatsby,Daisy
Gatsby,Daisy
Gatsby,Daisy
Gatsby,Daisy
Gatsby,Daisy
Gatsby,I
Daisy,the nurse
Daisy,I
Daisy,Myrtle
Daisy,I
Daisy,I
Daisy,Tom
Daisy,Tom
Daisy,her little girl
Daisy,Gatsby
Daisy,I
Daisy,the conductor to familiar faces
Daisy,Gatsby
Daisy,the child
Daisy,Gatsby
Daisy,Gatsby
Daisy,Gatsby
Daisy,Tom
Daisy,Gatsby
Daisy,we
Daisy,this fellow
Daisy,Gatsby
Daisy,Gatsby
Daisy,Gatsby
Daisy,Gatsby
Daisy,Gatsby
Daisy,Gatsby
Daisy,Tom
Daisy,I
Daisy,Tom
Daisy,them
Tom,I
Tom,I
Tom,Jordan
Tom,Daisy
Tom,I
Tom,Myrtle
Tom,the janitor
Tom,Daisy
Tom,Gatsby
Tom,Jordan
Tom,Gatsby
Tom,Myrtle
Tom,we
Tom,they
Tom,Gatsby
Tom,Gatsby
Tom,Myrtle
Tom,Myrtle
Tom,Myrtle
Tom,I
Jordan,I
Jordan,the host
Jordan,We
Jordan,Daisy
Jordan,I
Jordan,I
Myrtle,her sister
Myrtle,Tom
Wilson,Tom
Michaelis,Wilson
Michaelis,Wilson
Michaelis,Myrtle
Michaelis,his wife
Michaelis,God
Michaelis,some one
Catherine,I
Catherine,that man
Myrtle,Catherine
Meyer Wolfsheim,I
the man,I
Jordan,a figure
Mr. McKee,I
Mr. McKee,Myrtle
Mr. Gatz,I
I,Gatsby
her husband,his wife
her husband,Walter
Mrs. McKee,Chester
his wife,I
his wife,God
Gatsby ’s butler,Jordan
Gatsby ’s butler,the butler
she,our
A man named Biloxi,Daisy
Tom,Jordan
"A stout , middle - aged man , with enormous owl - eyed spectacles",Jordan
"A stout , middle - aged man , with enormous owl - eyed spectacles",Jordan
people,each other
people,Cody
the girl,Jordan
this wives,I
we,Tom
your wife,Gatsby
your wife,Gatsby
your wife,Gatsby
women,Gatsby
the lady,the man
a lovely Jewess,I
somebody,I
somebody,Tom
One of the men,us
He,Jimmy
Walter,Tom
Jimmy,He
The younger of the two,I
a butler,I
you,Gatsby
"A small , flat - nosed Jew",I
"A small , flat - nosed Jew",I
"A small , flat - nosed Jew",Gatsby
him,Myrtle
my father,I
Nobody,Myrtle
the chauffeur,Gatsby
her sister,Gatsby
we,the crowd
They,I
They,Tom
he,Gatsby
them,I
them,I
them,I
this man,Myrtle
We,I
We,Gatsby
We,the others
a dozen people,Daisy
several people,Gatsby
a woman named Roosevelt,"A stout , middle - aged man , with enormous owl - eyed spectacles"
that waiter,Rosy
we,Daisy
My Finn,I
Ella Kaye,Cody
Daddy,A man named Biloxi
the two young women,We
new arrivals,I
new arrivals,Jordan
It,you
Finn,I
many men,Daisy
They,The sister
Someone,The sister
Someone,The sister
He,her
