E1,E2,W
I,Gatsby,21.0
I,Tom,6.0
I,Daisy,10.0
I,Jordan,9.0
I,Myrtle,1.0
I,Cody,1.0
I,Biloxi,1.0
I,I,1.0
I,Gatsby ’s butler,1.0
I,Mr. Gatz,2.0
I,The minister,2.0
Gatsby,I,14.0
Gatsby,Daisy,11.0
Gatsby,Tom,1.0
Gatsby,Meyer Wolfsheim,1.0
Daisy,the nurse,1.0
Daisy,I,5.0
Daisy,Myrtle,1.0
Daisy,Tom,5.0
Daisy,Gatsby,12.0
Tom,I,4.0
Tom,Jordan,3.0
Tom,Daisy,2.0
Tom,Myrtle,5.0
Tom,Gatsby,4.0
Jordan,I,3.0
Jordan,Gatsby,1.0
Jordan,Daisy,1.0
Myrtle,Tom,1.0
Wilson,Tom,1.0
Michaelis,Wilson,2.0
Michaelis,Myrtle,1.0
Catherine,I,1.0
Myrtle,Catherine,1.0
Meyer Wolfsheim,I,3.0
Mr. McKee,I,1.0
Mr. McKee,Myrtle,1.0
Mr. Gatz,I,1.0
Mrs. McKee,Mr. McKee,1.0
Gatsby ’s butler,Jordan,1.0
Biloxi,Daisy,1.0
Walter,Tom,1.0
Meyer Wolfsheim,Gatsby,1.0
the chauffeur,Gatsby,1.0
Ella Kaye,Cody,1.0
Finn,I,1.0
