Id,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
I,10,11,21,34.0,55.0,89.0,2.0,0.8125,0.8846153846153846,0.30119047619047623,0.49541643,0.5474766,0.17141361925975362,1.0,0.17619048058986664
Tom,6,5,11,15.0,18.0,33.0,2.0,0.6190476190476191,0.6923076923076923,0.1103174603174603,0.3324928,0.4419043,0.11406572958719656,0.7271265487731557,0.2857142984867096
Daisy,5,5,10,25.0,24.0,49.0,2.0,0.6190476190476191,0.6923076923076923,0.0761904761904762,0.3780204,0.3983551,0.10219594910684326,0.7445856276945766,0.3333333432674408
Gatsby,6,4,10,40.0,27.0,67.0,3.0,0.5652173913043478,0.6410256410256411,0.07182539682539682,0.45596337,0.2885784,0.10035118543029267,0.7329670999624297,0.36666667461395264
Myrtle,5,2,7,9.0,2.0,11.0,3.0,0.41935483870967744,0.4871794871794871,0.05714285714285714,0.3807989,0.07956537,0.07255966071811785,0.5876224583113597,0.2666666805744171
Mr. McKee,1,2,3,1.0,2.0,3.0,3.0,0.5,0.5476190476190476,0.03333333333333333,0.0,0.19887611,0.01858770546847415,0.002364740833753927,0.1666666716337204
Jordan,3,3,6,13.0,5.0,18.0,3.0,0.5416666666666666,0.6025641025641025,0.02857142857142857,0.23675838,0.30173627,0.06276990048011785,0.4642198481776759,0.6499999761581421
Wilson,1,1,2,2.0,1.0,3.0,3.0,0.4,0.44047619047619035,0.011904761904761904,0.020682799,0.07546647,0.014308120846435951,0.002364740833753927,0.0
Catherine,1,1,2,1.0,1.0,2.0,3.0,0.48148148148148145,0.5128205128205128,0.011904761904761904,0.01805909,0.112445526,0.04100943353568946,0.13951403341010007,0.5
Cody,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.13101089,0.0,0.03193518498369461,0.23883882420914662,0.0
Biloxi,1,1,2,1.0,1.0,2.0,3.0,0.40625,0.4487179487179486,0.0,0.124261715,0.08579995,0.02337601573961821,0.2364740833753927,1.0
Gatsby ’s butler,1,1,2,1.0,1.0,2.0,4.0,0.37142857142857144,0.41666666666666663,0.0,0.124261715,0.05373746,0.02337601573961821,0.2364740833753927,1.0
Mr. Gatz,1,1,2,2.0,1.0,3.0,3.0,0.4642857142857143,0.49999999999999994,0.0,0.124261715,0.112445526,0.02337601573961821,0.2364740833753927,0.0
The minister,1,0,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.124261715,0.0,0.02337601573961821,0.2364740833753927,0.0
Meyer Wolfsheim,1,2,3,1.0,4.0,5.0,3.0,0.5,0.5512820512820512,0.0,0.065499134,0.21593632,0.03146916577327435,0.17145714322330896,1.0
the nurse,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09041534,0.0,0.02754811480695478,0.17262272253867197,0.0
Michaelis,0,2,2,0.0,3.0,3.0,4.0,0.32608695652173914,0.40555555555555556,0.0,0.0,0.091125,0.010028536224397751,0.0,0.0
Mrs. McKee,0,1,1,0.0,1.0,1.0,4.0,0.3488372093023256,0.3888888888888889,0.0,0.0,0.0,0.010028536224397751,0.0,0.0
Walter,0,1,1,0.0,1.0,1.0,3.0,0.4,0.44047619047619035,0.0,0.0,0.07546647,0.010028536224397751,0.0,0.0
the chauffeur,0,1,1,0.0,1.0,1.0,4.0,0.3783783783783784,0.42261904761904756,0.0,0.0,0.1034908,0.010028536224397751,0.0,0.0
Ella Kaye,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.029735768,0.010028536224397751,0.0,0.0
Finn,0,1,1,0.0,1.0,1.0,3.0,0.4666666666666667,0.49999999999999994,0.0,0.0,0.112445526,0.010028536224397751,0.0,0.0
