Id,Label,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigen centrality,Clustering Coef
I,I,24,30,54,49.0,82.0,131.0,4.0,0.6419753086419753,0.7612179487179489,0.1829615652102765,0.45758295,0.722935,0.10466088757192031,1.0,0.03888889029622078
Gatsby,Gatsby,12,12,24,47.0,38.0,85.0,4.0,0.5306122448979592,0.5977564102564101,0.0830981017836688,0.31960523,0.2666843,0.06709254023456172,0.6416492543920366,0.03801169618964195
Daisy,Daisy,8,11,19,28.0,30.0,58.0,3.0,0.5416666666666666,0.596153846153846,0.06257159221076747,0.27727056,0.2850502,0.041247866806385314,0.6422034147032137,0.07619047909975052
Tom,Tom,9,8,17,18.0,21.0,39.0,3.0,0.5306122448979592,0.5705128205128205,0.05075632056946487,0.3032014,0.26132184,0.04225716919678639,0.6681996277183688,0.12121212482452393
Myrtle,Myrtle,7,3,10,11.0,3.0,14.0,4.0,0.36363636363636365,0.3958333333333334,0.03277389134347897,0.122377925,0.05380376,0.0319979478439924,0.332077818302352,0.02777777798473835
Jordan,Jordan,6,5,11,17.0,7.0,24.0,4.0,0.46017699115044247,0.5048076923076921,0.030984086074292264,0.20428067,0.16509268,0.028281044872921674,0.3868827814743521,0.1111111119389534
We,We,3,3,6,3.0,3.0,6.0,5.0,0.43333333333333335,0.47660256410256385,0.012278064146620846,0.07440819,0.13393295,0.01749314904062591,0.21029197994280477,0.20000000298023224
Catherine,Catherine,1,2,3,1.0,2.0,3.0,4.0,0.4126984126984127,0.44711538461538425,0.01067618843069874,0.009011886,0.078855336,0.013359709444710127,0.06724864503968889,0.0
his wife,his wife,2,2,4,2.0,2.0,4.0,5.0,0.4,0.43888888888888855,0.007220585828833252,0.004420176,0.07959508,0.006828050005307767,0.004119058946987541,0.0833333358168602
"A stout , middle - aged man , with enormous owl - eyed spectacles","A stout , middle - aged man , with enormous owl - eyed spectacles",1,1,2,1.0,2.0,3.0,5.0,0.3192771084337349,0.3402515723270441,0.005691580756013745,0.0,0.034216087,0.007920182074305344,0.0020595294734937707,0.0
you,you,2,1,3,2.0,1.0,3.0,5.0,0.35135135135135137,0.3756410256410255,0.005584192439862543,0.12458349,0.05353243,0.010889234284302874,0.20801247682287086,0.3333333432674408
A man named Biloxi,A man named Biloxi,2,1,3,2.0,1.0,3.0,4.0,0.3561643835616438,0.3766025641025641,0.005584192439862543,0.12458349,0.04644156,0.010889234284302874,0.20801247682287086,0.3333333432674408
the man,the man,2,1,3,2.0,1.0,3.0,5.0,0.3969465648854962,0.4301282051282048,0.005584192439862543,0.04595774,0.07664307,0.012680361548158287,0.1315165151012372,0.3333333432674408
we,we,2,3,5,2.0,3.0,5.0,4.0,0.37142857142857144,0.40705128205128216,0.0053694158075601375,0.09151485,0.100032814,0.011960493925117074,0.2577397978728677,0.3333333432674408
him,him,2,1,3,5.0,1.0,6.0,5.0,0.2708333333333333,0.2907051282051282,0.0038659793814432982,0.16575675,0.020497749,0.01200897352816389,0.33540993297712046,0.3333333432674408
her sister,her sister,1,1,2,1.0,1.0,2.0,5.0,0.35374149659863946,0.3772435897435896,0.002330582146948126,0.009011886,0.05353243,0.013359709444710127,0.06724864503968889,0.0
Walter,Walter,1,1,2,1.0,1.0,2.0,4.0,0.3509933774834437,0.3679245283018869,0.0019329896907216496,1.2758625E-4,0.05078486,0.006099961959309382,0.0020595294734937707,0.0
Wilson,Wilson,1,1,2,2.0,1.0,3.0,4.0,0.3509933774834437,0.3679245283018869,8.309810178366879E-4,0.0042925896,0.05078486,0.005007829890311804,0.0020595294734937707,0.0
He,He,1,2,3,1.0,2.0,3.0,1.0,1.0,1.0,1.0738831615120275E-4,0.0,0.0,0.012403097502139457,0.00417656569284942,0.0
this great - uncle,this great - uncle,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12108833,0.0,0.007248794054310949,0.20595294734937708,0.0
a young man at the office,a young man at the office,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12108833,0.0,0.007248794054310949,0.20595294734937708,0.0
Some man,Some man,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12108833,0.0,0.007248794054310949,0.20595294734937708,0.0
Tom Buchanan ’s mistress,Tom Buchanan ’s mistress,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12108833,0.0,0.007248794054310949,0.20595294734937708,0.0
each other,each other,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.12839657,0.0,0.009069014169306912,0.20801247682287086,0.0
