Id,Label,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigen centrality,Clustering Coef
I,I,9,6,15,29.0,47.0,76.0,3.0,0.6923076923076923,0.8148148148148148,0.1895424836601307,0.626783,0.39850777,0.2223289859687156,1.0,0.10000000149011612
Tom,Tom,6,5,11,15.0,18.0,33.0,2.0,0.6923076923076923,0.7777777777777778,0.11764705882352941,0.38888976,0.48751092,0.13995215660444676,0.8597640565622646,0.2380952388048172
Myrtle,Myrtle,4,2,6,8.0,2.0,10.0,3.0,0.47368421052631576,0.5555555555555556,0.05555555555555555,0.32092977,0.10657422,0.06875807722855119,0.47861671091351105,0.10000000149011612
Gatsby,Gatsby,3,4,7,35.0,26.0,61.0,3.0,0.6,0.7037037037037037,0.0392156862745098,0.33661005,0.38592193,0.09178283671535056,0.7511733171244206,0.5833333134651184
Daisy,Daisy,4,4,8,24.0,22.0,46.0,2.0,0.6428571428571429,0.7222222222222222,0.029411764705882353,0.39255786,0.4284707,0.1153572731348945,0.8634068903610702,0.550000011920929
Wilson,Wilson,1,1,2,2.0,1.0,3.0,3.0,0.43478260869565216,0.4833333333333333,0.011437908496732025,0.024221748,0.09958559,0.015366793910930088,0.0027811898592949914,0.0
Catherine,Catherine,1,1,2,1.0,1.0,2.0,3.0,0.47368421052631576,0.5185185185185185,0.008169934640522876,0.027291171,0.1605045,0.041200642810261694,0.13478314431532662,0.0
Jordan,Jordan,2,2,4,12.0,4.0,16.0,3.0,0.5,0.574074074074074,0.0,0.22688872,0.2610294,0.0672758581516489,0.5169069124099455,1.0
Cody,Cody,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.109210014,0.0,0.05365399172057317,0.28090017578879417,0.0
Mr. Gatz,Mr. Gatz,1,1,2,2.0,1.0,3.0,4.0,0.42857142857142855,0.49074074074074076,0.0,0.10204854,0.1605045,0.043479032838677364,0.27811898592949913,0.0
Meyer Wolfsheim,Meyer Wolfsheim,1,1,2,1.0,1.0,2.0,4.0,0.45,0.5092592592592592,0.0,0.0988256,0.1605045,0.03147661147103724,0.20372831727396878,1.0
Michaelis,Michaelis,0,3,3,0.0,4.0,4.0,4.0,0.3870967741935484,0.5069444444444444,0.0,0.0,0.09458788,0.011975140950298151,0.0,0.0
God,God,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.024221748,0.0,0.015366793910930088,0.0027811898592949914,0.0
Mr. McKee,Mr. McKee,0,2,2,0.0,2.0,2.0,3.0,0.5263157894736842,0.5833333333333333,0.0,0.0,0.24268712,0.011975140950298151,0.0,0.0
Mrs. McKee,Mrs. McKee,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.011975140950298151,0.0,0.0
Chester,Chester,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022150099832193966,0.0027811898592949914,0.0
Walter,Walter,0,1,1,0.0,1.0,1.0,3.0,0.43478260869565216,0.4833333333333333,0.0,0.0,0.09958559,0.011975140950298151,0.0,0.0
Ella Kaye,Ella Kaye,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.027966136,0.011975140950298151,0.0,0.0
Finn,Finn,0,1,1,0.0,1.0,1.0,4.0,0.43478260869565216,0.4916666666666666,0.0,0.0,0.1605045,0.011975140950298151,0.0,0.0
