,HP1,HP2,HP3,HP4,HP5,HP6,HP7
Nodes,52,51,53,77,,91,
Links,253,255,327,591,,540,
Density,"0,045","0,048","0,057","0,042",,"0,025",
Average Degree,"2,308","2,412","2,943","3,182",,"2,264",
Average weighted degree,"4,865",5,"6,17","7,675",,"5,934",
Average shortest path,2.3935217091660923,2.372348782403771,2.371705217859064,2.4858078602620086,,2.6646474436636782,
Diameter,5,5,5,5,,6,
Average clustering coef,"0,279","0,271","0,388","0,364",,"0,263",
Alpha of degree distribution,2.0647105832832198,1.9664763325450565,2.637000668428948,2.8830826367032634,,2.116816661234374,
Alpha of in-degree distribution,2.7765976325507795,2.297682227990875,2.203044312747535,2.8989418899331914,,2.543337223635601,
Alpha of out-degree distribution,2.2906850203825857,2.6409584907580173,2.1923942333808344,2.0686128449533907,,3.0987871111936993,
