,HP1,HP2,HP3,HP4,HP5,HP6,HP7
Nodes,49,51,52,76,83,89,99
Links,252,255,326,590,575,538,580
Density,0.05,0.048,0.058,0.043,0.03,0.026,0.025
Average Degree,2.388,2.412,2.981,3.197,2.494,2.292,2.414
Average Weighted Degree,5.204,5,6.269,7.763,6.928,6.045,5.859
Average Shortest Path,2.409,2.372,2.355,2.46,2.446,2.665,2.651
Diameter,5,5,5,5,5,6,8
Average Clustering Coef,0.275,0.271,0.399,0.369,0.328,0.268,0.262
Assortativity,-0.2221637192280231,-0.16558859653996486,-0.0697627896528417,-0.04882909844417106,-0.06467295154399048,-0.2254653075919342,0.03857739424088262
Betweenness Centralization,0.6112416861300309,0.5777701875022516,0.7202624466775196,0.5507774383548445,0.5929806288014877,0.4282588599727256,0.5433710276299779
Closeness Centralization,0.3921419966679482,0.38713102040816294,0.526179305548649,0.43403929611478115,0.4857073305376232,0.3586268352750528,0.4722640408066088
Degree Centralization,0.9254901960784326,0.9395918367346945,1.1214177978883846,0.9950877192982441,1.062330623306234,0.7720741901776385,0.9709338280766848
Eigenvector Centralization,0.7632135646922247,0.6832647098776765,0.6146586488543216,0.656144801746198,0.7910652952285688,0.6124727347122972,0.718885162243596
Exp of total degree distribution,2.0647105832832198,1.9664763325450565,2.637000668428948,2.8830826367032634,2.5504801778268913,2.1023149653310256,2.6175762045380715
Exp of in-degree distribution,2.7765976325507795,2.297682227990875,2.203044312747535,2.8989418899331914,2.6366642650384042,2.5379224372354763,2.6883128533661402
Exp of out-degree distribution,2.2906850203825857,2.6409584907580173,2.1923942333808344,2.0686128449533907,2.6981982694416855,3.0987871111936993,2.5200602146158015
Scale-free,0,0,0,0,0,1,1
Type,None,lognormal (positive),None,lognormal (positive),None,Scale-free,Scale-free
SW,1,1,1,1,1,1,1
