Source,Target
102,98
102,535
102,435
102,2238
102,107
102,661
102,123
102,123
102,97
102,98
102,2339
102,119
102,861
102,97
102,119
102,2620
102,2676
102,195
102,211
102,195
102,181
102,110
102,172
102,192
102,258
102,195
102,1338
102,119
102,119
102,221
102,216
102,266
102,195
102,241
102,195
102,286
102,216
102,216
102,285
102,195
102,216
102,1566
102,1566
102,193
102,194
102,119
102,1622
102,119
102,195
102,266
102,1708
102,535
102,535
102,372
102,195
102,179
102,489
102,195
102,216
102,195
102,216
102,258
102,172
102,1803
102,172
102,1813
102,216
102,216
102,2493
102,196
102,1902
102,0
102,195
102,195
102,195
102,216
102,216
102,489
102,114
195,102
195,102
195,193
195,102
195,119
195,102
195,286
195,221
195,216
195,196
195,237
195,170
195,221
195,119
195,102
195,1661
195,102
195,216
195,216
195,1837
195,115
195,223
195,102
195,216
195,2059
119,428
119,102
119,123
119,16
119,102
119,102
119,2493
119,102
119,102
119,102
119,0
119,102
119,195
119,210
119,1809
119,1827
119,1827
119,332
119,1912
119,102
119,216
119,1918
119,341
119,102
119,154
119,372
119,16
119,3369
119,3380
119,102
119,2175
119,0
0,812
0,102
0,102
0,119
0,102
0,102
0,948
0,953
0,1017
0,193
0,2493
0,204
0,208
0,208
0,211
0,1077
0,102
0,221
0,102
0,1249
0,102
0,341
0,258
0,114
0,2089
0,2088
0,2088
0,2088
0,956
0,2113
0,172
0,2141
0,2141
0,2175
0,2175
0,2175
0,114
0,114
0,114
0,2181
0,2194
216,195
216,1379
216,195
216,195
216,0
216,661
216,1543
216,102
216,196
216,237
216,172
216,102
216,196
216,196
216,195
216,195
216,195
216,2493
216,195
216,102
216,2683
216,102
196,102
196,2880
196,195
196,221
196,489
196,223
98,102
98,102
98,2211
98,596
98,127
98,102
98,508
98,102
98,107
98,2251
98,102
111,110
111,110
111,102
111,1301
111,102
111,1417
111,281
111,221
111,196
111,102
258,1316
258,102
258,102
258,102
258,102
258,1332
258,2222
258,102
258,102
258,172
258,1989
258,316
258,2089
172,102
172,875
172,1277
172,878
172,102
172,102
172,0
172,0
172,2141
172,0
172,899
221,102
221,102
221,1833
221,275
123,102
123,102
123,102
123,107
123,102
123,98
123,670
123,102
123,102
123,719
123,102
123,102
123,102
123,719
123,719
123,107
123,102
123,119
123,149
123,102
110,111
110,111
110,102
110,2263
110,102
110,102
96,415
96,428
96,95
120,0
120,102
120,0
120,2173
97,369
97,369
97,369
97,98
97,135
97,102
97,102
107,102
107,98
107,102
107,102
281,195
281,2942
281,102
281,102
281,102
281,3094
114,1962
114,195
114,974
114,0
114,172
114,2361
192,102
192,2880
192,195
226,2012
226,2012
484,102
484,102
2222,179
2211,102
2211,102
2211,102
2211,119
266,195
266,102
266,1863
181,102
181,306
259,0
259,2452
193,102
193,102
1465,266
95,375
95,98
95,96
95,375
489,221
489,102
2264,0
332,119
346,1947
346,102
346,102
346,102
490,119
260,1395
260,221
260,2925
272,120
272,1963
878,266
307,2943
307,102
1848,275
1848,119
1848,332
185,102
2141,0
2141,0
535,98
535,536
535,181
3042,302
3042,192
2238,158
2238,216
2238,1776
115,111
115,102
700,885
700,195
700,102
237,102
154,1983
2012,196
2012,560
1863,102
1863,216
1863,332
2676,192
267,195
1439,196
1652,318
1652,210
188,102
1216,102
1216,172
1575,102
1575,102
197,111
1010,2213
1010,120
2338,1017
2338,1017
2338,191
2244,102
508,98
2088,0
2917,111
1271,1275
632,490
1939,119
2245,102
2357,2367
2689,192
1339,119
1696,102
113,0
2379,2381
204,1117
255,196
1443,196
2061,2060
2061,2060
2061,195
2061,195
178,102
1117,0
1535,216
1535,0
559,102
559,102
200,1033
2778,2464
1662,102
2335,119
1077,1078
1817,172
1837,332
1837,2418
380,369
106,232
843,844
1089,0
1138,111
1804,102
1941,0
125,1833
602,107
171,102
1377,196
1639,119
1729,1730
3262,195
3317,341
361,2173
2220,110
163,154
987,986
1027,194
1080,1078
2869,260
1596,102
1730,119
1731,102
3202,2211
