Source,Target,Type,Id,Label,Weight
Harry,Dudley,Directed,0,,2
Harry,his parents,Directed,1,,3
Harry,the man,Directed,2,,1
Harry,no one,Directed,3,,1
Harry,Mrs. Dursley,Directed,4,,1
Harry,no friends,Directed,5,,1
Harry,Mr. Dursley,Directed,6,,2
Harry,the Dursleys,Directed,8,,2
Harry,dad,Directed,10,,1
Harry,Hagrid,Directed,11,,6
Harry,they,Directed,12,,1
Harry,the guard,Directed,15,,1
Harry,the twins,Directed,16,,1
Harry,Ron,Directed,17,,13
Harry,Morgana,Directed,18,,1
Harry,Slytherin,Directed,20,,1
Harry,Dumbledore,Directed,21,,1
Harry,Quirrell,Directed,22,,3
Harry,Percy,Directed,23,,1
Harry,Snape,Directed,24,,3
Harry,"Neville , who had been drenched in the potion when the cauldron",Directed,26,,1
Harry,Malfoy,Directed,29,,1
Harry,Hermione,Directed,30,,10
Harry,Filch,Directed,31,,2
Harry,Parvati Patil,Directed,33,,1
Harry,Seeker,Directed,35,,1
Harry,them,Directed,41,,4
Harry,Fred,Directed,43,,1
Harry,George,Directed,44,,1
Harry,their,Directed,46,,1
Harry,A woman standing right behind his reflection,Directed,50,,1
Harry,anyone,Directed,53,,1
Harry,Quidditch,Directed,55,,1
Harry,the other two,Directed,56,,2
Harry,the others,Directed,68,,1
Harry,Neville,Directed,69,,1
Harry,we,Directed,70,,1
Harry,Voldemort,Directed,78,,1
Ron,Harry,Directed,79,,7
Ron,Fred,Directed,81,,1
Ron,Hagrid,Directed,83,,2
Ron,Seeker,Directed,85,,1
Ron,Malfoy,Directed,86,,2
Ron,Hermione,Directed,87,,4
Ron,Neville,Directed,88,,1
Ron,Seamus,Directed,89,,1
Ron,Dean,Directed,90,,1
Ron,old chessmen,Directed,94,,1
Ron,you,Directed,98,,1
Ron,Madam Pomfrey,Directed,99,,1
Ron,Trevor,Directed,100,,1
Ron,They,Directed,103,,1
Hagrid,the boy,Directed,104,,1
Hagrid,Harry,Directed,105,,10
Hagrid,Mr. Dursley,Directed,106,,1
Hagrid,Hogwarts,Directed,107,,2
Hagrid,the others,Directed,110,,1
