Source,Target
102,98
102,95
102,96
102,96
102,97
102,98
102,119
102,97
102,119
102,195
102,211
102,195
102,181
102,110
102,172
102,192
102,258
102,195
102,119
102,119
102,221
102,216
102,259
102,195
102,241
102,195
102,286
102,216
102,216
102,285
102,195
102,216
102,193
102,194
102,119
102,119
102,195
102,259
102,195
102,179
102,195
102,216
102,195
102,216
102,258
102,172
102,172
102,216
102,216
102,196
102,195
102,195
102,195
102,216
102,216
102,114
195,102
195,102
195,193
195,102
195,119
195,102
195,286
195,221
195,216
195,196
195,237
195,170
195,221
195,119
195,102
195,102
195,216
195,216
195,115
195,223
195,102
195,216
119,102
119,96
119,16
119,102
119,102
119,102
119,102
119,102
119,102
119,195
119,210
119,332
119,102
119,216
119,341
119,102
119,114
119,16
119,102
216,195
216,195
216,195
216,102
216,196
216,237
216,172
216,102
216,196
216,196
216,195
216,195
216,195
216,195
216,102
216,102
196,102
196,195
196,221
196,223
98,102
98,102
98,127
98,102
98,102
98,95
98,102
111,110
111,110
111,102
111,102
111,281
111,221
111,196
111,102
258,102
258,102
258,102
258,102
258,102
258,102
258,172
258,316
172,102
172,102
172,102
221,102
221,102
221,275
96,102
96,102
96,102
96,95
96,102
96,98
96,102
96,102
96,102
96,102
96,102
96,95
96,102
96,119
96,149
96,102
110,111
110,111
110,102
110,102
110,102
96,95
110,102
97,98
97,135
97,102
97,102
95,102
95,98
95,102
95,102
281,195
281,102
281,102
281,102
114,195
114,172
192,102
192,195
259,195
259,102
181,102
181,306
193,102
193,102
95,98
95,96
332,119
346,102
346,102
346,102
260,221
272,110
307,102
185,102
115,111
115,102
237,102
267,195
188,102
197,111
255,196
178,102
106,232
171,102
163,114
