Id,Label,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank
Harry,Harry,28,24,52,86.0,66.0,152.0,3.0,0.6666666666666666,0.7572463768115941,0.3587683883957923,0.66452366,0.5021872,0.15299897702999216
Dudley,Dudley,6,5,11,11.0,9.0,20.0,4.0,0.42990654205607476,0.4836956521739129,0.05060096153846154,0.16355953,0.13520092,0.042672705529848115
his parents,his parents,1,1,2,3.0,1.0,4.0,5.0,0.304635761589404,0.3304347826086956,0.0,0.078636914,0.025611598,0.01048893477921902
Mrs. Dursley,Mrs. Dursley,4,3,7,6.0,6.0,12.0,4.0,0.42990654205607476,0.46920289855072445,0.011923076923076922,0.13537693,0.15222657,0.024841628564304042
Mr. Dursley,Mr. Dursley,3,6,9,4.0,20.0,24.0,3.0,0.4791666666666667,0.5289855072463767,0.015621712689020382,0.14405863,0.20595087,0.019668275399654975
the Dursleys,the Dursleys,1,3,4,2.0,7.0,9.0,4.0,0.42592592592592593,0.4655797101449274,0.010096153846153847,0.078636914,0.13292798,0.01048893477921902
Hagrid,Hagrid,5,11,16,13.0,24.0,37.0,4.0,0.5,0.5815217391304346,0.06389962401380671,0.19629334,0.2655664,0.027739248192102998
they,they,3,8,11,3.0,12.0,15.0,4.0,0.46938775510204084,0.5380434782608695,0.02983589127218935,0.102882326,0.21026585,0.021819586610294248
the guard,the guard,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.078636914,0.0,0.01048893477921902
Fred,Fred,2,2,4,3.0,3.0,6.0,4.0,0.40707964601769914,0.4402173913043476,3.0048076923076925E-4,0.12630533,0.12566754,0.014530688486816254
George,George,1,1,2,2.0,1.0,3.0,5.0,0.3026315789473684,0.32318840579710145,0.0,0.078636914,0.021610558,0.01048893477921902
Ron,Ron,9,11,20,27.0,22.0,49.0,3.0,0.5111111111111111,0.5869565217391302,0.06556788297172914,0.28087226,0.30441764,0.052299035238444244
Morgana,Morgana,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.078636914,0.0,0.01048893477921902
Slytherin,Slytherin,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.078636914,0.0,0.01048893477921902
Dumbledore,Dumbledore,3,2,5,4.0,6.0,10.0,3.0,0.41818181818181815,0.44927536231884047,0.014983820266272188,0.11851044,0.10971489,0.017820684196149215
Quirrell,Quirrell,5,2,7,7.0,4.0,11.0,4.0,0.42201834862385323,0.45471014492753603,0.0048758012820512816,0.182098,0.12016722,0.02159071351393155
Percy,Percy,5,2,7,5.0,2.0,7.0,4.0,0.42592592592592593,0.458333333333333,0.022961867192636425,0.13800828,0.14803846,0.03221127302013735
Snape,Snape,1,5,6,3.0,11.0,14.0,3.0,0.4339622641509434,0.48550724637681125,0.011393819855358315,0.078636914,0.18480624,0.01048893477921902
Neville,Neville,6,4,10,9.0,4.0,13.0,4.0,0.4380952380952381,0.48369565217391264,0.027089342948717947,0.2104609,0.19078071,0.030690140494317005
Malfoy,Malfoy,5,2,7,6.0,3.0,9.0,4.0,0.4107142857142857,0.4438405797101448,0.01689102564102564,0.19541602,0.11195794,0.03053913019846978
Hermione,Hermione,3,6,9,15.0,17.0,32.0,4.0,0.4423076923076923,0.5018115942028981,0.004417067307692308,0.16789006,0.2515479,0.01667408154891764
Filch,Filch,2,3,5,3.0,3.0,6.0,4.0,0.4339622641509434,0.47282608695652145,0.010614110782380013,0.1115622,0.15175961,0.012807644520537665
Parvati Patil,Parvati Patil,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.078636914,0.0,0.01048893477921902
them,them,4,0,4,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.18141006,0.0,0.019811472850941418
Voldemort,Voldemort,2,3,5,2.0,3.0,5.0,4.0,0.36220472440944884,0.4076086956521739,0.0018556870479947405,0.12324359,0.09179247,0.016942500967685275
Seamus,Seamus,2,1,3,2.0,1.0,3.0,4.0,0.40707964601769914,0.43297101449275344,0.0,0.087058,0.10405699,0.011474725516151207
Dean,Dean,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.047668405,0.0,0.009112282615127951
Madam Pomfrey,Madam Pomfrey,1,2,3,1.0,2.0,3.0,3.0,0.42201834862385323,0.4528985507246375,0.0020352564102564105,0.047668405,0.10971489,0.009112282615127951
Trevor,Trevor,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.077542536,0.0,0.01563388834666885
They,They,4,1,5,6.0,1.0,7.0,4.0,0.3129251700680272,0.338768115942029,0.004483173076923077,0.123230286,0.005657897,0.01848369104015348
