Id,Label,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigen centrality,Clustering Coef
Harry,Harry,26,22,48,79.0,56.0,135.0,3.0,0.6909090909090909,0.7850877192982456,0.3430415263748597,0.67670596,0.50924313,0.19275694560082185,1.0,0.03729838877916336
Dudley,Dudley,4,3,7,6.0,7.0,13.0,4.0,0.42696629213483145,0.47149122807017535,0.011616161616161616,0.16989236,0.13995679,0.029069178165399185,0.34880060251166894,0.4000000059604645
Mrs. Dursley,Mrs. Dursley,3,3,6,5.0,6.0,11.0,4.0,0.4318181818181818,0.4758771929824561,3.367003367003367E-4,0.14126632,0.16716823,0.02604054554424593,0.3177502640153149,0.8333333134651184
Mr. Dursley,Mr. Dursley,3,5,8,4.0,17.0,21.0,4.0,0.4634146341463415,0.519736842105263,0.0132996632996633,0.15822138,0.1999278,0.023942542722770434,0.32099771811181044,0.4000000059604645
the Dursleys,the Dursleys,1,3,4,2.0,4.0,6.0,4.0,0.4318181818181818,0.4758771929824562,0.011447811447811448,0.08472094,0.14485477,0.013734364201128937,0.19266893751124342,0.3333333432674408
Hagrid,Hagrid,4,9,13,10.0,19.0,29.0,4.0,0.5066666666666667,0.5855263157894735,0.05948372615039282,0.180606,0.2746303,0.03002047474348268,0.3678638845418195,0.1388888955116272
Ron,Ron,9,11,20,27.0,22.0,49.0,3.0,0.5352112676056338,0.6184210526315788,0.07631874298540965,0.31091395,0.3463741,0.05772921302489535,0.5337255969630482,0.1041666641831398
Morgana,Morgana,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08472094,0.0,0.013734364201128937,0.19266893751124342,0.0
Slytherin,Slytherin,1,2,3,1.0,2.0,3.0,4.0,0.4222222222222222,0.4583333333333335,0.011447811447811448,0.08472094,0.11578583,0.013734364201128937,0.19266893751124342,0.0
Dumbledore,Dumbledore,3,2,5,4.0,6.0,10.0,3.0,0.4318181818181818,0.46491228070175444,0.02744107744107744,0.12357971,0.11937744,0.023530194091934038,0.21035406744887897,0.1666666716337204
Quirrell,Quirrell,4,1,5,6.0,3.0,9.0,4.0,0.41304347826086957,0.4407894736842106,0.006172839506172839,0.16248947,0.112581134,0.030508312226787893,0.3475563081675988,0.4166666567325592
