Id,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
Harry,23,27,50,85.0,77.0,162.0,3.0,0.76,0.850877192982456,0.3934897959183673,0.48897767,0.6568421,0.15753493124036597,1.0,0.043697480112314224
Dudley,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1017051,0.0,0.011058361499783308,0.19173815468575306,0.0
Riddle,4,5,9,7.0,9.0,16.0,3.0,0.5,0.5438596491228069,0.02748299319727891,0.1879462,0.14777623,0.023155691895133272,0.36285569412458935,0.3499999940395355
Dobby,1,1,2,5.0,5.0,10.0,4.0,0.4367816091954023,0.46271929824561403,0.0,0.1017051,0.07571355,0.011058361499783308,0.19173815468575306,0.0
George,1,3,4,3.0,4.0,7.0,4.0,0.4634146341463415,0.5021929824561402,0.006326530612244898,0.1017051,0.1169017,0.011058361499783308,0.19173815468575306,0.3333333432674408
Ron,8,12,20,34.0,36.0,70.0,4.0,0.5205479452054794,0.6206140350877191,0.05585714285714287,0.22888933,0.39227027,0.04871444238456666,0.5184443014798668,0.12916666269302368
Mr. Weasley,2,5,7,2.0,6.0,8.0,4.0,0.4578313253012048,0.5153508771929821,5.442176870748299E-4,0.12800077,0.21505028,0.013414353058434553,0.24581606179033513,0.4000000059604645
Ginny,6,3,9,14.0,5.0,19.0,3.0,0.4634146341463415,0.49999999999999983,0.009625850340136055,0.25534552,0.14091459,0.028618277514709488,0.504321635549936,0.3571428656578064
Percy,2,3,5,2.0,3.0,5.0,4.0,0.36538461538461536,0.4166666666666668,0.004278911564625851,0.16244441,0.08645693,0.014509038619040083,0.28963793718266717,0.5
Mrs. Weasley,2,3,5,2.0,7.0,9.0,4.0,0.4578313253012048,0.4978070175438594,3.7414965986394555E-4,0.13500372,0.15069272,0.013339097279712303,0.23847953175526831,0.6666666865348816
Hagrid,3,6,9,4.0,13.0,17.0,3.0,0.4935064935064935,0.5482456140350876,0.0272108843537415,0.16271302,0.1698233,0.01662823376614092,0.2834397056452176,0.2380952388048172
Hermione,5,2,7,16.0,8.0,24.0,4.0,0.4523809523809524,0.4846491228070174,0.027278911564625856,0.19206627,0.11115489,0.030768609015417038,0.34251421846048546,0.20000000298023224
Lockhart,6,5,11,8.0,16.0,24.0,4.0,0.475,0.5285087719298244,0.005931972789115646,0.2702765,0.20383279,0.030791822077660055,0.45435776477198964,0.2361111044883728
Snape,2,2,4,2.0,3.0,5.0,4.0,0.4418604651162791,0.475877192982456,0.0,0.16244441,0.1175633,0.014509038619040083,0.28963793718266717,1.0
Professor McGonagall,4,3,7,7.0,6.0,13.0,4.0,0.4523809523809524,0.49342105263157887,0.01414965986394558,0.23213212,0.097036794,0.02137647511711556,0.39872939072385155,0.30000001192092896
Wood,4,0,4,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.122685604,0.0,0.033360605401075244,0.28600023101532457,0.1666666716337204
Colin,2,2,4,2.0,2.0,4.0,4.0,0.4418604651162791,0.475877192982456,4.0816326530612246E-4,0.12350735,0.1175633,0.01458956418273326,0.20424378541841698,0.5
Filch,4,3,7,5.0,3.0,8.0,4.0,0.36893203883495146,0.41447368421052644,0.037482993197278915,0.17032176,0.010185084,0.018814984859298906,0.2296347805341762,0.15000000596046448
Justin,3,0,3,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.12654121,0.0,0.024923027590153503,0.21948811016070957,0.1666666716337204
Lee Jordan,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1017051,0.0,0.011058361499783308,0.19173815468575306,0.0
Fred,1,3,4,2.0,5.0,7.0,4.0,0.4634146341463415,0.5021929824561402,0.006326530612244898,0.1017051,0.1169017,0.011058361499783308,0.19173815468575306,0.3333333432674408
Mr. Malfoy,7,2,9,9.0,3.0,12.0,4.0,0.4418604651162791,0.475877192982456,0.0460204081632653,0.23924686,0.1118129,0.09442875430686325,0.5506766880109913,0.261904776096344
Millicent Bulstrode,1,1,2,1.0,1.0,2.0,5.0,0.31666666666666665,0.3385964912280702,0.0,0.1017051,0.029739639,0.011058361499783308,0.19173815468575306,1.0
Ernie,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1017051,0.0,0.011058361499783308,0.19173815468575306,0.0
