Id,Label,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Clustering Coef
Harry,Harry,30,32,62,93.0,86.0,179.0,3.0,0.7083333333333334,0.8071895424836603,0.3910060362173038,0.55462754,0.58470327,0.1289141391767301,0.03526569902896881
Dudley,Dudley,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.09719373,0.0,0.011170316268253384,1.0
his best friends,his best friends,1,0,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.07913476,0.0,0.007673917517256863,0.0
Lord Voldemort,Lord Voldemort,3,5,8,6.0,9.0,15.0,3.0,0.46788990825688076,0.5098039215686272,0.026676727028839702,0.12764563,0.12559986,0.028796852393533936,0.3499999940395355
Dobby,Dobby,1,1,2,5.0,5.0,10.0,4.0,0.4180327868852459,0.44444444444444403,0.0,0.07913476,0.07506426,0.007673917517256863,0.0
George,George,1,4,5,3.0,7.0,10.0,4.0,0.4473684210526316,0.49019607843137225,0.004728370221327968,0.07913476,0.13717711,0.007673917517256863,0.4166666567325592
the Weasleys,the Weasleys,1,0,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.07913476,0.0,0.007673917517256863,0.0
Ron,Ron,9,15,24,35.0,40.0,75.0,4.0,0.5151515151515151,0.6111111111111109,0.04981891348088531,0.23146999,0.38245592,0.03402522206177887,0.1315789520740509
Mr. Weasley,Mr. Weasley,2,5,7,2.0,6.0,8.0,4.0,0.4358974358974359,0.486928104575163,7.377598926894701E-4,0.1039964,0.17574158,0.009773667370910715,0.4000000059604645
Ginny,Ginny,7,3,10,15.0,5.0,20.0,3.0,0.4434782608695652,0.4771241830065356,0.045439302481556004,0.20712544,0.11876894,0.07062883384151905,0.3035714328289032
Percy,Percy,6,4,10,10.0,4.0,14.0,4.0,0.3669064748201439,0.4183006535947712,0.017954393024815562,0.18962583,0.06888962,0.018166019869668877,0.2222222238779068
Mrs. Weasley,Mrs. Weasley,2,4,6,2.0,8.0,10.0,4.0,0.4434782608695652,0.4869281045751631,0.009708249496981892,0.102919936,0.13693278,0.00933508033889397,0.44999998807907104
Hagrid,Hagrid,4,7,11,5.0,15.0,20.0,4.0,0.45132743362831856,0.5130718954248362,0.030114017437961105,0.13096915,0.1836953,0.017290376153102763,0.17777778208255768
Hermione,Hermione,6,4,10,17.0,11.0,28.0,4.0,0.4434782608695652,0.4869281045751631,0.02714621059691482,0.1713268,0.15424822,0.02354224073970817,0.1428571492433548
Lockhart,Lockhart,7,6,13,10.0,17.0,27.0,4.0,0.4594594594594595,0.5130718954248363,0.00510395707578806,0.24001904,0.2156963,0.02141689848554999,0.20909090340137482
Snape,Snape,2,3,5,2.0,4.0,6.0,4.0,0.425,0.464052287581699,0.0,0.13089702,0.14726226,0.009602178469387969,0.75
Professor McGonagall,Professor McGonagall,4,4,8,7.0,7.0,14.0,4.0,0.4358974358974359,0.4803921568627447,0.01983568075117371,0.1925262,0.091265135,0.013744602503581052,0.2142857164144516
they,they,5,5,10,6.0,5.0,11.0,4.0,0.4434782608695652,0.4934640522875814,0.03073440643863179,0.16168183,0.13343242,0.020565734581442043,0.1527777761220932
Wood,Wood,4,0,4,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0949995,0.0,0.020972529046968755,0.1666666716337204
Colin,Colin,2,2,4,2.0,2.0,4.0,4.0,0.4214876033057851,0.4542483660130715,3.018108651911469E-4,0.09529341,0.107548855,0.010824462593038828,0.5
Filch,Filch,4,3,7,5.0,3.0,8.0,4.0,0.3493150684931507,0.39052287581699346,0.03150570087189805,0.13331003,0.0071302983,0.013738906975649143,0.15000000596046448
Justin,Justin,4,0,4,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.09891722,0.0,0.02053179457366474,0.0833333358168602
Lee Jordan,Lee Jordan,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07913476,0.0,0.007673917517256863,0.0
Fred,Fred,1,4,5,2.0,8.0,10.0,4.0,0.4473684210526316,0.49019607843137225,0.004728370221327968,0.07913476,0.13717711,0.007673917517256863,0.4166666567325592
Mr. Malfoy,Mr. Malfoy,7,3,10,9.0,4.0,13.0,4.0,0.42857142857142855,0.4673202614379081,0.03075117370892019,0.19381048,0.14120656,0.04435321008972192,0.25
Millicent Bulstrode,Millicent Bulstrode,1,1,2,1.0,1.0,2.0,5.0,0.31097560975609756,0.33300653594771246,0.0,0.07913476,0.023187669,0.007673917517256863,1.0
Ernie,Ernie,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07913476,0.0,0.007673917517256863,0.0
Crabbe,Crabbe,2,1,3,2.0,1.0,3.0,5.0,0.30357142857142855,0.32483660130718955,0.0,0.13089702,0.026230646,0.009602178469387969,0.8333333134651184
Malfoy,Malfoy,5,2,7,5.0,2.0,7.0,5.0,0.30538922155688625,0.33464052287581697,0.0102280348759222,0.19527526,0.026720088,0.04521802801064333,0.4000000059604645
them,them,11,1,12,14.0,1.0,15.0,4.0,0.31097560975609756,0.33006535947712423,0.03140509725016767,0.29343057,0.028032718,0.057215920580168486,0.21969696879386902
Neville,Neville,3,1,4,3.0,1.0,4.0,5.0,0.24056603773584906,0.2588235294117645,3.018108651911469E-4,0.12638645,0.039713405,0.01420432682720312,0.5
Fawkes,Fawkes,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07913476,0.0,0.007673917517256863,0.0
their daughter,their daughter,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07913476,0.0,0.007673917517256863,0.0
Errol,Errol,2,0,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.06108589,0.0,0.01003855791430128,1.0
