Id,Label,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Clustering Coef,,,,,
Harry,Harry,35,42,77,104.0,118.0,222.0,3.0,0.759493670886076,0.8472222222222222,0.3952581453634086,0.44919667,0.60677946,0.1332487530748493,0.037710439413785934,0,22,,1.0,58
Hedwig,Hedwig,1,0,1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.070388995,0.0,0.006686934472003622,0.0,0,21,,0.141330822185158,58
Uncle Vernon,Uncle Vernon,2,3,5,4.0,4.0,8.0,4.0,0.4444444444444444,0.4763888888888886,0.018947368421052633,0.071349144,0.06846365,0.012371112320468898,0.25,0,22,,0.1617781459908758,58
Fudge,Fudge,2,2,4,3.0,4.0,7.0,4.0,0.4411764705882353,0.4680555555555552,1.2280701754385965E-4,0.07747643,0.06133193,0.00952902339623626,0.6666666865348816,0,22,,0.1617781459908758,58
Tom,Tom,1,2,3,2.0,2.0,4.0,4.0,0.43795620437956206,0.46527777777777746,0.0,0.070388995,0.06109632,0.006686934472003622,1.0,0,22,,0.141330822185158,58
Seamus Finnigan,Seamus Finnigan,1,1,2,1.0,1.0,2.0,4.0,0.3389830508474576,0.361111111111111,0.0,0.070388995,0.026944304,0.006686934472003622,1.0,0,22,,0.141330822185158,58
Ron,Ron,9,13,22,29.0,36.0,65.0,4.0,0.5084745762711864,0.5791666666666667,0.03554761904761905,0.21360606,0.28055996,0.03182879415018454,0.20000000298023224,0,22,,0.511709630497479,58
Hermione,Hermione,14,8,22,33.0,33.0,66.0,4.0,0.4918032786885246,0.5402777777777776,0.024339598997493737,0.32802805,0.20030814,0.038575188474690054,0.24264705181121826,0,22,,0.7634887707427018,58
Errol,Errol,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.070388995,0.0,0.006686934472003622,0.0,0,20,,0.141330822185158,58
Mr. Weasley,Mr. Weasley,3,3,6,7.0,3.0,10.0,4.0,0.45112781954887216,0.4819444444444442,4.653299916457811E-4,0.118519165,0.08745627,0.011229926546266866,0.5,0,22,,0.2520461748192057,58
them,them,7,2,9,14.0,2.0,16.0,6.0,0.24793388429752067,0.2733333333333332,0.01945029239766082,0.16213793,0.016933676,0.042704647177843516,0.2321428507566452,0,22,,0.4407085397676505,58
Mrs. Weasley,Mrs. Weasley,3,3,6,3.0,3.0,6.0,4.0,0.4444444444444444,0.4763888888888886,0.002543859649122807,0.091103,0.092994034,0.011763501678703147,0.3499999940395355,0,22,,0.19662165494352093,58
Voldemort,Voldemort,2,2,4,2.0,2.0,4.0,4.0,0.4444444444444444,0.47083333333333305,1.812865497076023E-4,0.087859616,0.07497194,0.007892149987384113,0.6666666865348816,0,22,,0.1660373184852754,58
they,they,11,7,18,14.0,7.0,21.0,4.0,0.47619047619047616,0.5236111111111109,0.041251044277360066,0.24506994,0.117503256,0.034776681939047205,0.13809524476528168,0,22,,0.5460918676565336,58
Lupin,Lupin,10,11,21,21.0,29.0,50.0,3.0,0.5042016806722689,0.5638888888888889,0.03485881370091897,0.23226996,0.26833445,0.03594674755104529,0.22857142984867096,0,22,,0.6289390964512434,58
Dumbledore,Dumbledore,3,8,11,4.0,8.0,12.0,4.0,0.4918032786885246,0.5402777777777776,0.012901420217209693,0.07950748,0.18381135,0.017127748063824874,0.2666666805744171,0,22,,0.21833963395543757,58
the Gryffindors,the Gryffindors,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.09171189,0.0,0.008506885266739123,1.0,0,7,,0.17203960014043448,58
the Dursleys,the Dursleys,1,1,2,2.0,1.0,3.0,5.0,0.31088082901554404,0.3283333333333334,0.0,0.070388995,0.008276803,0.006686934472003622,1.0,0,22,,0.141330822185158,58
