Source,Target,Type,Id,Label,Weight
Harry,Voldemort,Directed,1128,,2
Harry,his two best friends,Directed,1129,,1
Harry,Hedwig,Directed,1130,,5
Harry,Uncle Vernon,Directed,1131,,2
Harry,Sirius,Directed,1132,,3
Harry,Bill,Directed,1137,,1
Harry,Mr. Weasley,Directed,1138,,2
Harry,Ron,Directed,1139,,22
Harry,Hermione,Directed,1140,,26
Harry,Dobby,Directed,1145,,7
Harry,the elf,Directed,1146,,1
Harry,the Bulgarian minister,Directed,1147,,1
Harry,Mostafa,Directed,1148,,1
Harry,Krum,Directed,1149,,4
Harry,Moody,Directed,1151,,5
Harry,Neville,Directed,1152,,1
Harry,Hagrid,Directed,1156,,7
Harry,Cedric,Directed,1158,,9
Harry,the Fat Lady,Directed,1159,,1
Harry,Goyle,Directed,1167,,2
Harry,Snape,Directed,1171,,4
Harry,Fleur,Directed,1173,,2
Harry,Mr. Ollivander,Directed,1174,,1
Harry,Cho,Directed,1177,,4
Harry,Charlie,Directed,1182,,1
Harry,Madame Maxime,Directed,1184,,3
Harry,Professor Sprout,Directed,1195,,1
Harry,the first judge,Directed,1198,,1
Harry,Dudley,Directed,1212,,1
Harry,Dumbledore,Directed,1214,,10
Harry,Parvati,Directed,1215,,2
Harry,Professor Grubbly - Plank,Directed,1223,,1
Harry,Bagman,Directed,1224,,1
Harry,Myrtle,Directed,1226,,1
Harry,Professor McGonagall,Directed,1227,,2
Harry,Fleur ’s sister,Directed,1229,,3
Harry,Padma,Directed,1235,,1
Harry,Mr. Crouch,Directed,1236,,1
Harry,Pansy Parkinson,Directed,1238,,1
Harry,her sister,Directed,1248,,1
Harry,the old man,Directed,1269,,1
Harry,Fudge,Directed,1271,,1
Harry,Mrs. Diggory,Directed,1272,,1
Ron,Harry,Directed,1276,,19
Ron,Krum,Directed,1279,,4
Ron,Neville,Directed,1280,,1
Ron,Moody,Directed,1281,,1
Ron,George,Directed,1283,,2
Ron,Hedwig,Directed,1284,,1
Ron,Hermione,Directed,1288,,9
Ron,the first judge,Directed,1294,,1
Ron,Pigwidgeon,Directed,1295,,4
Ron,Dobby,Directed,1301,,3
Ron,Snape,Directed,1308,,1
Ron,Professor Grubbly - Plank,Directed,1311,,1
Ron,Fleur ’s sister,Directed,1314,,1
Ron,Percy,Directed,1322,,2
Hermione,Harry,Directed,1326,,17
Hermione,Ron,Directed,1327,,9
Hermione,Crookshanks,Directed,1332,,1
Hermione,Neville,Directed,1333,,1
Hermione,Hedwig,Directed,1337,,1
Hermione,Professor McGonagall,Directed,1342,,1
Hermione,Dobby,Directed,1349,,1
Hermione,Pigwidgeon,Directed,1350,,1
Hermione,Krum,Directed,1351,,2
Hermione,Hagrid,Directed,1352,,3
Hermione,Rita Skeeter,Directed,1354,,4
Hermione,Malfoy,Directed,1355,,1
Hermione,Mr. Crouch,Directed,1356,,1
Hermione,Buckbeak,Directed,1359,,1
Hermione,Sirius,Directed,1361,,1
Hermione,Winky,Directed,1362,,1
Hermione,Moody,Directed,1368,,1
Dumbledore,Madame Maxime,Directed,1373,,1
Dumbledore,Mr. Ollivander,Directed,1374,,1
Dumbledore,Hagrid,Directed,1375,,3
Dumbledore,Winky,Directed,1376,,2
Dumbledore,Moody,Directed,1378,,5
Dumbledore,Harry,Directed,1380,,16
Dumbledore,Snape,Directed,1381,,5
Dumbledore,Karkaroff,Directed,1386,,1
Dumbledore,Arthur,Directed,1396,,1
Dumbledore,Pigwidgeon,Directed,1405,,1
Dumbledore,Sirius,Directed,1407,,1
Dumbledore,Professor McGonagall,Directed,1408,,1
Hagrid,Malfoy,Directed,1410,,1
Hagrid,Hermione,Directed,1411,,1
Hagrid,Harry,Directed,1412,,8
Hagrid,Madame Maxime,Directed,1417,,4
Hagrid,Agrid,Directed,1418,,1
Hagrid,Sirius,Directed,1419,,1
Hagrid,Rita Skeeter,Directed,1423,,1
Hagrid,Ron,Directed,1424,,1
Hagrid,Karkaroff,Directed,1425,,1
Hagrid,Fang,Directed,1426,,1
Cedric,Harry,Directed,1430,,8
Cedric,Winky,Directed,1431,,1
Cedric,Fleur,Directed,1432,,1
Cedric,Cho,Directed,1436,,2
Mr. Crouch,Cedric,Directed,1442,,1
Mr. Crouch,Harry,Directed,1443,,2
Mr. Crouch,his son,Directed,1445,,2
Mr. Crouch,Dumbledore,Directed,1446,,2
Mr. Crouch,Krum,Directed,1447,,1
Mr. Crouch,Bertha Jorkins,Directed,1448,,1
Mr. Crouch,the jury,Directed,1451,,1
Moody,Malfoy,Directed,1452,,1
Moody,Hermione,Directed,1453,,1
Moody,Ron,Directed,1454,,1
Moody,Hagrid,Directed,1455,,3
Moody,Mr. Crouch,Directed,1458,,1
Moody,Harry,Directed,1459,,8
Bagman,Harry,Directed,1462,,7
Bagman,Fred,Directed,1465,,1
Bagman,George,Directed,1466,,1
Bagman,his own elf,Directed,1471,,1
Voldemort,the old man,Directed,1472,,1
Voldemort,his father,Directed,1473,,1
Voldemort,James Potter,Directed,1474,,1
Voldemort,Lily Potter,Directed,1475,,3
Voldemort,Harry,Directed,1478,,3
Voldemort,Wormtail,Directed,1479,,2
Voldemort,Dumbledore,Directed,1482,,2
Voldemort,Cedric,Directed,1485,,1
Mr. Weasley,Harry,Directed,1486,,3
Mr. Weasley,his wife,Directed,1487,,1
Mr. Weasley,Mrs. Weasley,Directed,1488,,3
Mr. Weasley,Bagman,Directed,1489,,1
Mr. Weasley,Fred,Directed,1492,,1
Moody,Karkaroff,Directed,1495,,1
Moody,Dumbledore,Directed,1496,,1
Moody,Fleur,Directed,1500,,1
Moody,Professor McGonagall,Directed,1503,,1
Winky,Bertha Jorkins,Directed,1504,,1
Winky,Dumbledore,Directed,1505,,1
Karkaroff,Dumbledore,Directed,1506,,1
Karkaroff,Moody,Directed,1507,,1
Karkaroff,Hermione,Directed,1508,,1
Karkaroff,Krum,Directed,1509,,2
Karkaroff,Fleur,Directed,1510,,1
Karkaroff,Harry,Directed,1511,,2
Karkaroff,Snape,Directed,1513,,1
Krum,Harry,Directed,1515,,2
Krum,Ron,Directed,1516,,1
Krum,Hermione,Directed,1517,,5
Krum,Dumbledore,Directed,1522,,1
Krum,Mr. Crouch,Directed,1523,,1
Krum,Cedric,Directed,1524,,1
Sirius,Harry,Directed,1526,,4
Sirius,Bertha Jorkins,Directed,1528,,1
Sirius,Ron,Directed,1529,,1
Snape,Goyle,Directed,1532,,1
Snape,Harry,Directed,1533,,5
Snape,Moody,Directed,1534,,1
Snape,James Potter,Directed,1535,,1
Snape,Karkaroff,Directed,1538,,3
Snape,Dumbledore,Directed,1542,,4
Wormtail,Bertha Jorkins,Directed,1543,,2
Wormtail,Frank,Directed,1544,,1
Wormtail,the old man,Directed,1545,,1
Wormtail,Voldemort,Directed,1546,,1
Wormtail,Harry,Directed,1548,,1
Dobby,Harry,Directed,1549,,8
Dobby,Moody,Directed,1557,,1
Dobby,Professor McGonagall,Directed,1558,,1
Mrs. Weasley,Fred,Directed,1559,,2
Mrs. Weasley,George,Directed,1560,,2
Mrs. Weasley,Harry,Directed,1561,,6
Mrs. Weasley,Mr. Weasley,Directed,1562,,1
Mrs. Weasley,Percy,Directed,1563,,1
Mrs. Weasley,Fleur,Directed,1567,,1
Rita Skeeter,Harry,Directed,1572,,2
Rita Skeeter,Hermione,Directed,1574,,1
Pigwidgeon,his supporters,Directed,1575,,1
Pigwidgeon,his son,Directed,1576,,1
Pigwidgeon,his own son,Directed,1577,,1
Fred,Harry,Directed,1578,,1
Fred,Baddock,Directed,1579,,1
Fred,Bagman,Directed,1580,,1
Malfoy,his father,Directed,1581,,1
Malfoy,Harry,Directed,1582,,1
Malfoy,Ron,Directed,1583,,2
Malfoy,Hermione,Directed,1584,,1
Frank,The speaker,Directed,1586,,1
Frank,The servant,Directed,1587,,1
Madame Maxime,Fleur,Directed,1588,,2
Madame Maxime,Hagrid,Directed,1589,,1
Madame Maxime,Hermione,Directed,1590,,1
Madame Maxime,Krum,Directed,1591,,1
Madame Maxime,Mr. Crouch,Directed,1593,,1
Fudge,the Bulgarian minister,Directed,1594,,1
Fudge,Pigwidgeon,Directed,1595,,1
Fudge,Harry,Directed,1596,,1
Fudge,Rita Skeeter,Directed,1597,,1
Fleur,Cedric,Directed,1598,,2
Fleur,her sister,Directed,1599,,1
Fleur,Harry,Directed,1600,,2
Fleur,Ron,Directed,1601,,1
George,Harry,Directed,1604,,1
George,Bagman,Directed,1605,,1
George,Malfoy,Directed,1606,,1
George,Goyle,Directed,1607,,1
Uncle Vernon,Harry,Directed,1608,,2
Uncle Vernon,Aunt Petunia,Directed,1610,,1
Uncle Vernon,Mr. Crouch,Directed,1611,,1
Professor McGonagall,Hermione,Directed,1612,,1
Professor McGonagall,Peeves,Directed,1613,,1
Professor McGonagall,Harry,Directed,1614,,3
Professor McGonagall,Pigwidgeon,Directed,1617,,1
Percy,his father,Directed,1618,,1
Percy,Bagman,Directed,1619,,2
Percy,Pigwidgeon,Directed,1620,,3
Percy,Ron,Directed,1621,,2
Percy,Mr. Crouch,Directed,1625,,1
