Id,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
Harry,37,43,80,175.0,161.0,336.0,3.0,0.735632183908046,0.8307291666666667,0.44080615875352713,0.51733994,0.5449296,0.13036662227656884,1.0,0.04022988677024841
Voldemort,3,8,11,3.0,23.0,26.0,4.0,0.463768115942029,0.5182291666666664,0.04166750208855472,0.064749375,0.106504306,0.013000085123616549,0.15396477512983978,0.0972222238779068
Hedwig,3,1,4,7.0,1.0,8.0,1.0,1.0,1.0,0.01,0.12989639,0.0,0.011558648012771254,0.27739695568705763,0.5
Uncle Vernon,1,3,4,2.0,3.0,5.0,4.0,0.4444444444444444,0.4765624999999997,0.009824561403508772,0.062849544,0.085137315,0.005944149881718676,0.13098182319593654,0.3333333432674408
Sirius,5,3,8,10.0,9.0,19.0,3.0,0.463768115942029,0.4895833333333331,5.877192982456141E-4,0.16620559,0.119760774,0.013835819606126057,0.33340410249164404,0.6428571343421936
Bill,2,1,3,2.0,1.0,3.0,4.0,0.31527093596059114,0.33072916666666674,1.7543859649122806E-4,0.09446267,0.013982828,0.00826537126327254,0.1974244248352999,0.6666666865348816
Mr. Weasley,3,6,9,4.0,11.0,15.0,3.0,0.4740740740740741,0.5130208333333333,0.015417450483239958,0.08585156,0.13746211,0.011715624311195,0.16109671982443438,0.4285714328289032
Ron,18,18,36,58.0,56.0,114.0,3.0,0.5378151260504201,0.6171875000000003,0.09898944135786242,0.31001803,0.30722392,0.0697251112653706,0.6194445159702696,0.09391534328460693
Hermione,12,14,26,50.0,53.0,103.0,3.0,0.5203252032520326,0.5859375000000003,0.04575856307435255,0.26209706,0.27409792,0.038223735286611604,0.521662267302673,0.15000000596046448
Dobby,3,2,5,9.0,7.0,16.0,4.0,0.4383561643835616,0.46614583333333304,9.85797827903091E-4,0.12989639,0.07249235,0.011558648012771254,0.27739695568705763,0.8333333134651184
the Bulgarian minister,1,0,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.062849544,0.0,0.005944149881718676,0.13098182319593654,0.0
Mostafa,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.062849544,0.0,0.005944149881718676,0.13098182319593654,0.0
Krum,8,4,12,15.0,10.0,25.0,3.0,0.4740740740740741,0.5026041666666665,0.03900500376816166,0.18513626,0.1378707,0.03302934838735226,0.39131161533685355,0.2888889014720917
Stan Shunpike,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.062849544,0.0,0.005944149881718676,0.13098182319593654,0.0
Moody,4,10,14,13.0,23.0,36.0,3.0,0.5079365079365079,0.557291666666667,0.01459649122807018,0.11119657,0.2401606,0.014507506789867048,0.2619238371268426,0.3636363744735718
Neville,3,1,4,6.0,1.0,7.0,4.0,0.3516483516483517,0.3763020833333332,0.0,0.12989639,0.035755977,0.011558648012771254,0.27739695568705763,1.0
Dumbledore,10,13,23,25.0,36.0,61.0,3.0,0.512,0.5703125000000002,0.030763402776560676,0.20494093,0.2218306,0.028841404510003978,0.45885171850407896,0.24166665971279144
Hagrid,7,9,16,19.0,23.0,42.0,3.0,0.49230769230769234,0.5416666666666669,0.022342105263157892,0.19595538,0.21542542,0.02531379818410298,0.43065320279608543,0.34545454382896423
Cedric,6,4,10,16.0,13.0,29.0,4.0,0.43537414965986393,0.473958333333333,0.002522138680033417,0.12303998,0.103630304,0.029353849793566467,0.2906659119730314,0.3095238208770752
the Fat Lady,1,1,2,1.0,1.0,2.0,4.0,0.35359116022099446,0.3789062499999999,0.0,0.062849544,0.035755977,0.005944149881718676,0.13098182319593654,1.0
Goyle,2,0,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.077250786,0.0,0.007704598850714642,0.1683194069550819,1.0
Snape,4,6,10,8.0,10.0,18.0,3.0,0.47058823529411764,0.5104166666666665,0.004249791144527985,0.14518006,0.124864325,0.012415906159639526,0.2928256487152152,0.380952388048172
Fleur,6,3,9,8.0,4.0,12.0,3.0,0.45390070921985815,0.48177083333333304,0.01396099222415012,0.12123648,0.10961429,0.023994025414850496,0.25636662176631586,0.2142857164144516
Mr. Ollivander,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.062849544,0.0,0.005944149881718676,0.13098182319593654,0.0
Cho,2,2,4,8.0,3.0,11.0,4.0,0.42953020134228187,0.458333333333333,0.0,0.07480176,0.07385832,0.012181287045699202,0.1688673190448065,1.0
Madame Maxime,4,4,8,11.0,5.0,16.0,4.0,0.3615819209039548,0.4036458333333332,0.003241436925647452,0.12615515,0.0881651,0.013060383590741102,0.26637255526847675,0.4761904776096344
Professor Sprout,2,1,3,2.0,1.0,3.0,4.0,0.4266666666666667,0.450520833333333,0.0,0.09828325,0.059667483,0.00923742663121739,0.21095435404769436,1.0
Lucius Malfoy,2,1,3,2.0,1.0,3.0,4.0,0.3121951219512195,0.3281250000000001,2.3391812865497074E-4,0.075133234,0.009153248,0.007326461664409975,0.15199862111725002,0.6666666865348816
Professor McGonagall,4,5,9,7.0,8.0,15.0,3.0,0.47058823529411764,0.5052083333333331,0.00531513710461079,0.12861528,0.11628782,0.01147940688825357,0.2528159497359214,0.3095238208770752
Ginny,3,2,5,4.0,3.0,7.0,3.0,0.4507042253521127,0.47395833333333304,0.008450292397660819,0.10130903,0.09542346,0.010668414776309719,0.21226417227965372,0.3333333432674408
Dudley,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.062849544,0.0,0.005944149881718676,0.13098182319593654,0.0
Parvati,1,1,2,2.0,1.0,3.0,5.0,0.2644628099173554,0.28203124999999996,0.0,0.062849544,0.0073464857,0.005944149881718676,0.13098182319593654,0.5
Professor Grubbly - Plank,2,1,3,2.0,1.0,3.0,4.0,0.3333333333333333,0.35286458333333337,0.0,0.09828325,0.022600543,0.00923742663121739,0.21095435404769436,1.0
Bagman,5,3,8,6.0,13.0,19.0,3.0,0.45390070921985815,0.48177083333333304,0.003958595011226591,0.11888261,0.08616625,0.014697849499295446,0.2251129089955737,0.30000001192092896
Myrtle,1,1,2,1.0,1.0,2.0,4.0,0.4266666666666667,0.450520833333333,0.0,0.062849544,0.059667483,0.005944149881718676,0.13098182319593654,0.0
Peeves,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.07626162,0.0,0.007896755531537788,0.1635591922894815,1.0
the Horntail,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.062849544,0.0,0.005944149881718676,0.13098182319593654,0.0
Fleur ’s sister,2,0,2,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.09828325,0.0,0.00923742663121739,0.21095435404769436,1.0
Padma,2,1,3,2.0,2.0,4.0,4.0,0.35359116022099446,0.3789062499999999,0.01105263157894737,0.06369685,0.035755977,0.010999659735081432,0.14844866374526125,0.5
Crouch,10,7,17,15.0,15.0,30.0,3.0,0.48484848484848486,0.5260416666666667,0.0360490649701176,0.21101387,0.14813727,0.04098895617407584,0.4454135054516203,0.2371794879436493
Pansy Parkinson,1,1,2,1.0,1.0,2.0,4.0,0.34594594594594597,0.3684895833333333,0.0,0.062849544,0.030229006,0.005944149881718676,0.13098182319593654,1.0
Frank,3,2,5,6.0,2.0,8.0,5.0,0.32160804020100503,0.3500000000000001,0.004947368421052632,0.08346332,0.009004398,0.009862182297565546,0.1591224135506551,0.6666666865348816
Fudge,4,3,7,4.0,3.0,7.0,3.0,0.44755244755244755,0.47656249999999967,0.02236842105263158,0.07936217,0.08376002,0.017846817220515905,0.19410047643165995,0.23333333432674408
Mrs. Diggory,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.062849544,0.0,0.005944149881718676,0.13098182319593654,0.0
Malfoy,5,4,9,5.0,5.0,10.0,3.0,0.47058823529411764,0.4999999999999998,0.0012681704260651629,0.13207382,0.13905326,0.015021875435960765,0.2639850168575132,0.5476190447807312
George,6,6,12,7.0,6.0,13.0,3.0,0.46715328467153283,0.5078124999999998,0.016837184258236892,0.1135644,0.108222894,0.01703671585625373,0.22717006414192206,0.21111111342906952
Pigwidgeon,1,0,1,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.035433713,0.0,0.0066595637779216146,0.0799725308517577,0.0
Fred,6,5,11,7.0,5.0,12.0,3.0,0.4740740740740741,0.5078124999999999,0.0063808608545450635,0.11619006,0.14270166,0.018278111996354447,0.22815558520836834,0.3055555522441864
Percy,2,4,6,2.0,8.0,10.0,4.0,0.39263803680981596,0.43619791666666646,0.0017631578947368421,0.048775256,0.09744153,0.007372017745822612,0.08423851712009081,0.15000000596046448
Rita Skeeter,2,2,4,4.0,3.0,7.0,4.0,0.43243243243243246,0.46093749999999967,5.8479532163742686E-5,0.056459248,0.0810202,0.008079477224408145,0.12055098462818642,0.8333333134651184
Buckbeak,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.031613126,0.0,0.005687508409976761,0.06644260163936341,0.0
Winky,4,1,5,8.0,2.0,10.0,4.0,0.3282051282051282,0.3450520833333333,4.678362573099415E-4,0.08656712,0.024337316,0.013934398495636624,0.20266821117533435,0.25
Karkaroff,4,7,11,4.0,11.0,15.0,3.0,0.47761194029850745,0.5208333333333333,0.0011303258145363407,0.09253119,0.18478264,0.010638320885421451,0.18320986533425718,0.4583333432674408
Crouch Junior,2,0,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.03899694,0.0,0.007205028222723004,0.09094999425596094,0.5
Mr. Diggory,1,2,3,1.0,2.0,3.0,4.0,0.4383561643835616,0.46614583333333304,0.0,0.017085435,0.0840048,0.00834472978691047,0.05683618645224174,1.0
Bertha Jorkins,2,1,3,2.0,1.0,3.0,4.0,0.42953020134228187,0.45312499999999967,0.0,0.025415521,0.059667483,0.010880450420066039,0.06395997888564682,0.5
Mrs. Weasley,1,6,7,3.0,14.0,17.0,3.0,0.47058823529411764,0.5104166666666665,3.508771929824561E-4,0.015854213,0.11567628,0.005026886397000741,0.021847781179666053,0.2666666805744171
Lily Potter,1,0,1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.01228369,0.0,0.004748598811114197,0.021016797921313442,0.0
Wormtail,2,3,5,6.0,4.0,10.0,4.0,0.4383561643835616,0.47135416666666635,0.005263157894736842,0.013322214,0.07222504,0.008942557762827416,0.042689931623257314,0.5
Minerva,1,1,2,1.0,1.0,2.0,4.0,0.3137254901960784,0.3294270833333334,8.771929824561403E-5,0.027698958,0.009153248,0.004599767557513107,0.03339127342387289,0.0
Baddock,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.02894042,0.0,0.008891775870489647,0.06023686058956429,0.0
Crabbe,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012481904,0.0,0.005781927961386593,0.030070227953696155,0.0
Aunt Petunia,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009819325,0.0,0.005051456979543817,0.017466840549324743,0.0
Crookshanks,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013199831817765725,0.035231805009344634,0.0
Charlie,0,2,2,0.0,2.0,2.0,4.0,0.3299492385786802,0.35384615384615375,0.0,0.0,0.026234616,0.0033662870284228985,0.0,0.0
Professor Trelawney,0,2,2,0.0,2.0,2.0,3.0,0.4513888888888889,0.47435897435897406,0.0,0.0,0.09542346,0.0033662870284228985,0.0,1.0
Filch,1,2,3,1.0,3.0,4.0,3.0,0.4513888888888889,0.47435897435897406,0.011403508771929825,0.0,0.083304375,0.006228263318607554,0.0013098182319593653,0.3333333432674408
Madam Pomfrey,0,2,2,0.0,4.0,4.0,3.0,0.4513888888888889,0.47435897435897406,0.0,0.0,0.09542346,0.0033662870284228985,0.0,1.0
Dean,0,1,1,0.0,1.0,1.0,4.0,0.4276315789473684,0.45128205128205096,0.0,0.0,0.059667483,0.0033662870284228985,0.0,0.0
Nagini,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01228369,0.0,0.004748598811114197,0.021016797921313442,0.0
Lee Jordan,0,3,3,0.0,4.0,4.0,3.0,0.4642857142857143,0.4897435897435895,0.0,0.0,0.12565246,0.0033662870284228985,0.0,1.0
Lynch,2,1,3,2.0,1.0,3.0,4.0,0.325,0.3397435897435897,0.02280701754385965,0.0,0.021352718,0.00909023960879221,0.0026196364639187305,0.0
Mrs. Norris,0,1,1,0.0,1.0,1.0,4.0,0.3142857142857143,0.32828282828282834,0.0,0.0,0.0,0.0033662870284228985,0.0,0.0
Moran,0,1,1,0.0,1.0,1.0,5.0,0.24812030075187969,0.2618686868686868,0.0,0.0,0.0,0.0033662870284228985,0.0,0.0
Macnair,0,1,1,0.0,1.0,1.0,5.0,0.32019704433497537,0.3420512820512821,0.0,0.0,0.007467879,0.0033662870284228985,0.0,0.0
Connolly,0,1,1,0.0,1.0,1.0,5.0,0.24812030075187969,0.2618686868686868,0.0,0.0,0.0,0.0033662870284228985,0.0,0.0
Oliver Wood,0,1,1,0.0,2.0,2.0,4.0,0.4276315789473684,0.45128205128205096,0.0,0.0,0.059667483,0.0033662870284228985,0.0,0.0
