Id,Label,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
Harry,Harry,40,43,83,153.0,148.0,301.0,4.0,0.6470588235294118,0.7640692640692642,0.35527500496897335,0.52665615,0.5503072,0.12414516295603567,1.0,0.035245902836322784
Voldemort,Voldemort,2,9,11,3.0,15.0,18.0,4.0,0.4556213017751479,0.5075757575757578,0.034698424824475244,0.073598556,0.15566617,0.006573237989802586,0.13802144408889616,0.1805555522441864
his two best friends,his two best friends,1,1,2,1.0,1.0,2.0,5.0,0.39487179487179486,0.42510822510822477,0.0,0.063667566,0.06093126,0.005884507866377798,0.13401643256152976,0.0
Hedwig,Hedwig,3,1,4,7.0,1.0,8.0,1.0,1.0,1.0,0.0021309630153167566,0.12976485,0.004257195,0.010318538337289886,0.2675469044625461,0.5833333134651184
Uncle Vernon,Uncle Vernon,1,3,4,2.0,4.0,6.0,5.0,0.4074074074074074,0.44675324675324657,0.006184291898577613,0.063667566,0.08339588,0.005884507866377798,0.13401643256152976,0.3333333432674408
Sirius,Sirius,4,3,7,6.0,6.0,12.0,5.0,0.4117647058823529,0.4489177489177489,0.0022491680654945965,0.14676638,0.09629475,0.011277289818545056,0.30725217121291387,0.5
Bill,Bill,1,3,4,1.0,3.0,4.0,6.0,0.30196078431372547,0.3341991341991343,0.007842025699168557,0.063667566,0.023543272,0.005884507866377798,0.13401643256152976,0.1666666716337204
Mr. Weasley,Mr. Weasley,2,5,7,3.0,9.0,12.0,5.0,0.4207650273224044,0.46731601731601724,0.0176149247577819,0.0753803,0.07872758,0.006527739399974211,0.13802144408889616,0.3499999940395355
Ron,Ron,15,14,29,47.0,50.0,97.0,5.0,0.4666666666666667,0.5441558441558447,0.05656177596317289,0.26551998,0.25751412,0.046483588243085586,0.5078799591044952,0.09420289844274521
Hermione,Hermione,11,17,28,48.0,47.0,95.0,5.0,0.48427672955974843,0.5701298701298706,0.03635180382879463,0.24291538,0.31379437,0.03224544000314789,0.5206757945755454,0.1473684161901474
Dobby,Dobby,5,3,8,13.0,10.0,23.0,5.0,0.4117647058823529,0.44891774891774877,0.01602762317048031,0.13333428,0.10734042,0.018235085448888955,0.28709940376597815,0.4285714328289032
the elf,the elf,1,1,2,1.0,1.0,2.0,6.0,0.29389312977099236,0.31255411255411264,0.0,0.063667566,0.015426054,0.005884507866377798,0.13401643256152976,1.0
the Bulgarian minister,the Bulgarian minister,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.07437058,0.0,0.007134706311164309,0.15222876753934647,1.0
Mostafa,Mostafa,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.063667566,0.0,0.005884507866377798,0.13401643256152976,0.0
Krum,Krum,7,6,13,15.0,11.0,26.0,5.0,0.44,0.4878787878787883,0.026199799304041,0.18305807,0.18431656,0.023199522106731957,0.37515561032267053,0.3194444477558136
Moody,Moody,9,10,19,17.0,19.0,36.0,5.0,0.46107784431137727,0.522510822510823,0.010980847584125252,0.23493317,0.24478206,0.023395166702644778,0.464740461186253,0.30219781398773193
Neville,Neville,4,0,4,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.13152535,0.0,0.01323429166974291,0.2688870687881614,0.5
Hagrid,Hagrid,6,10,16,18.0,20.0,38.0,5.0,0.4502923976608187,0.5138528138528143,0.025368641925264567,0.16851065,0.18413201,0.02056061859878957,0.37678751732390764,0.25641027092933655
Cedric,Cedric,8,4,12,17.0,12.0,29.0,5.0,0.4052631578947368,0.44891774891774877,0.010580750075184208,0.15313421,0.09568082,0.026154428474242403,0.351338087490688,0.1805555522441864
the Fat Lady,the Fat Lady,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.063667566,0.0,0.005884507866377798,0.13401643256152976,0.0
Goyle,Goyle,3,0,3,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.090924636,0.0,0.00950932424473305,0.18566374383219308,0.5
Snape,Snape,4,7,11,11.0,16.0,27.0,5.0,0.42777777777777776,0.4813852813852815,0.011602738738593079,0.1417395,0.14060192,0.012033349538812821,0.2859378066811154,0.3392857015132904
Fleur,Fleur,7,4,11,9.0,6.0,15.0,5.0,0.41397849462365593,0.45541125541125543,0.008683069187270869,0.15275319,0.11844006,0.018677268615047038,0.31954623255098086,0.2083333283662796
Mr. Ollivander,Mr. Ollivander,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.08915899,0.0,0.007917203019743814,0.1927148166446035,1.0
Cho,Cho,2,2,4,6.0,2.0,8.0,5.0,0.39896373056994816,0.4337662337662336,0.0,0.07473732,0.07864806,0.011441049294395924,0.18015309390773604,1.0
Charlie,Charlie,1,1,2,1.0,1.0,2.0,7.0,0.24600638977635783,0.2641001855287569,0.006081220366934653,0.063667566,0.0,0.005884507866377798,0.13401643256152976,0.0
Madame Maxime,Madame Maxime,3,5,8,8.0,6.0,14.0,6.0,0.3515981735159817,0.40670995670995663,7.926319769238755E-4,0.11046206,0.10779965,0.009664919366048139,0.24072735081118518,0.523809552192688
Professor Sprout,Professor Sprout,1,2,3,1.0,2.0,3.0,5.0,0.4010416666666667,0.4359307359307357,0.0,0.063667566,0.08811176,0.005884507866377798,0.13401643256152976,1.0
the first judge,the first judge,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.09346055,0.0,0.008706167884792969,0.20102208406081729,1.0
Dudley,Dudley,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.064531334,0.0,0.010218063546930828,0.13784303777827567,0.0
Dumbledore,Dumbledore,11,12,23,25.0,38.0,63.0,5.0,0.46107784431137727,0.5311688311688315,0.031589822513464705,0.22038142,0.2203338,0.02870613419498952,0.4522972329155519,0.1507352888584137
Parvati,Parvati,1,1,2,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.063667566,0.009072782,0.005884507866377798,0.13401643256152976,0.5
Professor Grubbly - Plank,Professor Grubbly - Plank,2,1,3,2.0,1.0,3.0,6.0,0.3130081300813008,0.33744588744588744,3.865182436611008E-4,0.09346055,0.019495768,0.008706167884792969,0.20102208406081729,0.8333333134651184
Bagman,Bagman,6,4,10,7.0,10.0,17.0,5.0,0.41397849462365593,0.45649350649350645,0.022542606618054982,0.10657023,0.07099291,0.015449848364491668,0.18841834851386924,0.1190476194024086
