Id,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
Harry,44,55,99,155.0,205.0,360.0,4.0,0.7403846153846154,0.8484848484848484,0.4786362998807771,0.4339776,0.75913686,0.1781259627889205,1.0,0.020703934133052826
Dumbledore,4,11,15,18.0,37.0,55.0,4.0,0.4873417721518987,0.5411255411255415,0.01718739042008556,0.117133014,0.21714315,0.01464944917729338,0.21025031296314384,0.1794871836900711
Uncle Vernon,3,2,5,4.0,4.0,8.0,6.0,0.308,0.33051948051948055,0.029455081001472753,0.113354385,1.9866004E-4,0.0135282387624974,0.19204501992522485,0.20000000298023224
Hestia,1,1,2,1.0,1.0,2.0,8.0,0.19444444444444445,0.20943104514533065,0.00704818009678098,0.089627706,0.0,0.00566078989171317,0.14267456198787584,0.0
Hedwig,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.089627706,0.0,0.00566078989171317,0.14267456198787584,0.0
Hagrid,4,3,7,9.0,9.0,18.0,5.0,0.4350282485875706,0.46948051948051966,0.017738170378607997,0.10628203,0.0710011,0.016067888755701195,0.23314441074841136,0.23333333432674408
Voldemort,7,12,19,17.0,20.0,37.0,3.0,0.4967741935483871,0.5497835497835502,0.04448226516919973,0.17362726,0.18757918,0.018434833433728023,0.32392096504280665,0.1190476194024086
Andromeda,1,0,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.089627706,0.0,0.00566078989171317,0.14267456198787584,0.0
Mrs. Weasley,5,5,10,8.0,7.0,15.0,5.0,0.44508670520231214,0.48679653679653717,0.013072445473034575,0.11249015,0.115185514,0.01430992860104793,0.21908650140800912,0.25
George,2,2,4,3.0,2.0,5.0,6.0,0.3168724279835391,0.3424242424242424,2.930479997595503E-4,0.10084501,0.032599743,0.009607950359207144,0.19338560642770622,0.6666666865348816
Stan,1,0,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.089627706,0.0,0.00566078989171317,0.14267456198787584,0.0
Lupin,8,6,14,15.0,18.0,33.0,5.0,0.4502923976608187,0.4954545454545457,0.030579600519638386,0.17352748,0.095009364,0.027865191100411926,0.3691351303742857,0.1666666716337204
Mr. Weasley,2,4,6,2.0,5.0,7.0,5.0,0.4375,0.47597402597402616,0.010509152114454029,0.092484936,0.078906216,0.008066764181684047,0.16304949854311093,0.3499999940395355
Bill,4,4,8,11.0,5.0,16.0,5.0,0.4425287356321839,0.48030303030303056,9.292376744512237E-4,0.14194925,0.10377676,0.013555213702132536,0.2597714043851653,0.4333333373069763
Ron,8,13,21,49.0,53.0,102.0,5.0,0.47530864197530864,0.5452380952380957,0.024375665828432497,0.19455145,0.23785333,0.024266678727662104,0.3752823756515869,0.12865497171878815
Ginny,3,4,7,9.0,8.0,17.0,5.0,0.4375,0.47597402597402616,0.007534088745954936,0.13130933,0.07725455,0.009680102388580256,0.2256620728178801,0.3499999940395355
Hermione,10,9,19,79.0,59.0,138.0,5.0,0.46107784431137727,0.5170995670995676,0.016193364925744472,0.21887442,0.18296313,0.028754370565257786,0.4137455598107283,0.17142857611179352
Tonks,3,2,5,5.0,2.0,7.0,5.0,0.4301675977653631,0.460822510822511,2.1039343572480537E-4,0.112543195,0.06534522,0.009807682519723616,0.19725531389445658,0.5
