Id,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
Jon,10,11,21,51.0,29.0,80.0,2.0,0.7894736842105263,0.8666666666666667,0.25969444444444445,0.52164215,0.598096,0.13505657836179905,1.0,0.07692307978868484
Lily,3,6,9,5.0,17.0,22.0,3.0,0.6,0.6888888888888889,0.07158333333333333,0.22048731,0.41426,0.05959707382456399,0.5588117418618386,0.20000000298023224
Hermione Granger,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1385772,0.0,0.026862141266101557,0.29440588180388305,0.0
Professor McGonagall,2,3,5,4.0,8.0,12.0,3.0,0.5,0.5666666666666667,7.5E-4,0.20865059,0.29820088,0.03844050374515777,0.5111560776551539,0.5
Neville,3,3,6,9.0,14.0,23.0,3.0,0.5,0.5666666666666667,0.027138888888888886,0.22048731,0.26362163,0.05241795937706069,0.5141001364731927,0.20000000298023224
Niffler,3,0,3,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.25137702,0.0,0.04932516601521468,0.5303488379610292,0.6666666865348816
Hagrid,1,3,4,3.0,6.0,9.0,3.0,0.4838709677419355,0.5555555555555555,0.0,0.1385772,0.22320203,0.026862141266101557,0.29440588180388305,0.3333333432674408
Slughorn,5,3,8,7.0,14.0,21.0,3.0,0.5,0.5666666666666667,0.061166666666666675,0.30892584,0.24473128,0.06092242736004143,0.46446970814723,0.190476194024086
Filch,4,1,5,6.0,2.0,8.0,1.0,1.0,1.0,0.008611111111111111,0.36474052,0.031041658,0.06103531884872167,0.7517097091453776,0.30000001192092896
Ron,1,2,3,1.0,3.0,4.0,3.0,0.4838709677419355,0.5333333333333333,0.025,0.1385772,0.12772296,0.026862141266101557,0.29440588180388305,0.0
Beech,2,0,2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.19029434,0.0,0.03447697118400499,0.38057643070061,1.0
Dumbledore,5,5,10,8.0,8.0,16.0,3.0,0.5769230769230769,0.6555555555555556,0.04105555555555555,0.40061685,0.3024271,0.06811077585095442,0.7461814261940888,0.261904776096344
Professor Flitwick,3,0,3,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.13397211,0.0,0.09716638349798118,0.5711390653879349,0.1666666716337204
that man,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.029594995,0.0,0.027853482436387224,0.08617054889672679,0.0
the youth,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09598577,0.0,0.024866188328316594,0.16123164988923028,0.0
the older witch,1,1,2,1.0,1.0,2.0,4.0,0.38461538461538464,0.42777777777777776,0.0,0.09598577,0.05108744,0.024866188328316594,0.16123164988923028,0.0
Voldemort,0,3,3,0.0,3.0,3.0,4.0,0.4146341463414634,0.4950980392156861,0.0,0.0,0.17372945,0.01643123755953207,0.0,0.1666666716337204
Harry Potter,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.040252946,0.0,0.021090389436833043,0.0029440588180388305,0.0
Justin,1,1,2,1.0,1.0,2.0,3.0,0.45714285714285713,0.48958333333333326,0.0,0.031375162,0.120865725,0.021090389436833043,0.0029440588180388305,0.5
Snape,0,2,2,0.0,2.0,2.0,4.0,0.3617021276595745,0.4264705882352941,0.0,0.0,0.07563952,0.01643123755953207,0.0,0.0
a stranger,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.017525362,0.0,0.02341996537548353,0.0029440588180388305,0.0
Moody,0,1,1,0.0,1.0,1.0,4.0,0.34782608695652173,0.390625,0.0,0.0,0.07157885,0.01643123755953207,0.0,0.0
the professor,0,1,1,0.0,1.0,1.0,3.0,0.45714285714285713,0.48958333333333326,0.0,0.0,0.120865725,0.01643123755953207,0.0,0.0
The senior girl,0,1,1,0.0,1.0,1.0,4.0,0.34782608695652173,0.39062499999999994,0.0,0.0,0.05108744,0.01643123755953207,0.0,0.0
This somewhat snobbish professor,0,3,3,0.0,3.0,3.0,3.0,0.4864864864864865,0.5462962962962963,0.0,0.0,0.13540512,0.01643123755953207,0.0,0.1666666716337204
Lavender,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.031375162,0.0,0.021090389436833043,0.0029440588180388305,0.0
