Id,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
Lucy,4,3,7,7.0,4.0,11.0,6.0,0.32142857142857145,0.5166666666666667,0.2803030303030303,0.4141105,0.32740825,0.24550102227561424,1.0,0.05000000074505806
Aslan,3,2,5,5.0,3.0,8.0,4.0,0.45,0.5462962962962963,0.2689393939393939,0.4232038,0.3395353,0.11681191250986572,0.502574157479868,0.25
Susan,2,1,3,4.0,1.0,5.0,4.0,0.36,0.42592592592592593,0.25,0.09725839,0.15002067,0.09317327513332078,0.25292003229412696,0.0
the White Witch,2,4,6,6.0,11.0,17.0,4.0,0.5294117647058824,0.6759259259259259,0.22727272727272727,0.37835944,0.31600425,0.07187825711309795,0.41764268510488595,0.0833333358168602
Mrs Beaver,1,1,2,1.0,1.0,2.0,5.0,0.3,0.374074074074074,0.21212121212121213,0.11606301,0.034476932,0.0845407969824989,0.507710214247353,0.0
Edmund,2,5,7,9.0,8.0,17.0,3.0,0.6428571428571429,0.7592592592592592,0.15151515151515152,0.12812485,0.7278108,0.04299254474428495,0.23779168110501397,0.1666666716337204
Peter,4,1,5,4.0,1.0,5.0,7.0,0.25,0.36216931216931214,0.06818181818181818,0.57945937,0.14679721,0.14781043780529476,0.9304427579860719,0.1666666716337204
Mr Tumnus,2,1,3,3.0,4.0,7.0,7.0,0.25,0.36216931216931214,0.011363636363636364,0.2280864,0.14679721,0.09983271315317442,0.7404120367185351,0.0
the Professor,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25799912,0.0,0.022276642573221365,0.1383638444210301,0.0
Mr Beaver,0,2,2,0.0,4.0,4.0,5.0,0.35714285714285715,0.47000000000000003,0.0,0.0,0.23988834,0.014972620384737872,0.0,0.0
Maugrim,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.11202338,0.0,0.030264536555413384,0.2327018224711819,0.0
the dwarf,0,1,1,0.0,3.0,3.0,4.0,0.4166666666666667,0.475,0.0,0.0,0.045418724,0.014972620384737872,0.0,0.0
Giant Rumblebuffin,0,1,1,0.0,1.0,1.0,7.0,0.2631578947368421,0.3759523809523809,0.0,0.0,0.14679721,0.014972620384737872,0.0,0.0
