Id,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
Caspian,5,7,12,5.0,11.0,16.0,2.0,0.7058823529411765,0.7916666666666666,0.275,0.40933818,0.5739816,0.16556298053236035,0.9117452825124536,0.0833333358168602
Lucy,5,5,10,6.0,9.0,15.0,3.0,0.6,0.6944444444444445,0.18958333333333333,0.369998,0.5070296,0.12476515044972149,0.5937401171578655,0.1428571492433548
Eustace,3,5,8,5.0,5.0,10.0,3.0,0.5217391304347826,0.625,0.075,0.3153746,0.3591808,0.062085094906779215,0.8696242308534096,0.36666667461395264
Ramandu,1,1,2,1.0,1.0,2.0,1.0,1.0,1.0,0.020833333333333332,0.1674536,0.0,0.04082945676946777,0.33419048273201657,0.0
Ramandu ’s daughter,1,1,2,2.0,1.0,3.0,1.0,1.0,1.0,0.020833333333333332,0.1674536,0.0,0.04082945676946777,0.33419048273201657,0.0
Drinian,1,2,3,1.0,5.0,6.0,3.0,0.4482758620689655,0.5128205128205128,0.014583333333333334,0.0344211,0.29803932,0.029494096674327723,0.003634178329543193,0.3333333432674408
Reepicheep,5,1,6,10.0,1.0,11.0,3.0,0.42857142857142855,0.47222222222222227,0.010416666666666666,0.6122527,0.119420476,0.09694058956055605,1.0,0.4000000059604645
Edmund,1,3,4,2.0,3.0,5.0,4.0,0.42857142857142855,0.5347222222222221,0.010416666666666666,0.1674536,0.36039042,0.04082945676946777,0.33419048273201657,0.5833333134651184
Aslan,2,1,3,3.0,1.0,4.0,4.0,0.3870967741935484,0.43749999999999994,0.0,0.25306144,0.107943356,0.053562530935453836,0.34633464345525217,0.5
Sea Girl,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.147921,0.0,0.04192086967892243,0.2252183974158596,0.0
Peter,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10478754,0.0,0.03129647678440553,0.31021535070553374,0.0
Rynelf,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10478754,0.0,0.03129647678440553,0.31021535070553374,0.0
Gumpas,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1674536,0.0,0.04082945676946777,0.33419048273201657,0.0
the Magician,0,2,2,0.0,2.0,2.0,4.0,0.4117647058823529,0.4821428571428571,0.0,0.0,0.11798538,0.020665231541610988,0.0,0.0
Bern,0,1,1,0.0,1.0,1.0,3.0,0.43333333333333335,0.4743589743589744,0.0,0.0,0.119420476,0.020665231541610988,0.0,0.0
Rhoop,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09051519908079941,0.24223249207878467,0.0
The Captain,0,1,1,0.0,1.0,1.0,4.0,0.3939393939393939,0.44230769230769224,0.0,0.0,0.107943356,0.020665231541610988,0.0,0.0
