Id,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
Elizabeth,17,16,33,54.0,47.0,101.0,3.0,0.7333333333333333,0.8484848484848484,0.4078853046594982,0.5845391,0.5513966,0.22368044749843213,1.0,0.06926406919956207
Miss Bingley,4,3,7,6.0,4.0,10.0,4.0,0.4583333333333333,0.5227272727272728,0.0478494623655914,0.19555265,0.1789273,0.04866978323946791,0.43911374282181453,0.20000000298023224
Jane,3,5,8,9.0,7.0,16.0,4.0,0.4888888888888889,0.5757575757575758,0.00913978494623656,0.18461789,0.2273729,0.034737575795779414,0.3386268709867413,0.2666666805744171
Mr. Hurst,1,1,2,2.0,1.0,3.0,5.0,0.3283582089552239,0.37045454545454537,0.0,0.102476284,0.06411145,0.01984722447782422,0.23390698692396483,1.0
Mr. Darcy,7,4,11,26.0,22.0,48.0,4.0,0.46808510638297873,0.5454545454545455,0.03243727598566308,0.34496605,0.23710217,0.06921625212226264,0.526315840202668,0.25
George Wickham,4,1,5,6.0,4.0,10.0,4.0,0.43137254901960786,0.4696969696969698,0.0,0.25477335,0.10863576,0.03833531928889886,0.36327613093359534,0.5
Mr. Collins,7,5,12,9.0,11.0,20.0,3.0,0.55,0.6060606060606061,0.16093189964157706,0.31337124,0.17463537,0.08724355928182362,0.4415801300063492,0.1428571492433548
Miss Lucas,2,5,7,3.0,7.0,10.0,3.0,0.5238095238095238,0.5909090909090909,0.0017921146953405016,0.16834024,0.3066184,0.021934857218162643,0.23825323971347392,0.4333333373069763
Sir William,3,1,4,4.0,1.0,5.0,4.0,0.36065573770491804,0.3901515151515151,0.0,0.19191661,0.058239598,0.03839742463400129,0.39631162379778206,0.8333333134651184
Maria,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.102476284,0.0,0.01984722447782422,0.23390698692396483,0.0
Mrs. Collins,1,2,3,1.0,2.0,3.0,4.0,0.44,0.49242424242424254,0.0,0.102476284,0.15340972,0.01984722447782422,0.23390698692396483,1.0
Colonel Fitzwilliam,4,1,5,4.0,3.0,7.0,4.0,0.43137254901960786,0.4696969696969698,0.0,0.24091633,0.10863576,0.04507881534734437,0.414782405727565,0.5
Mr. Bingley,3,2,5,10.0,3.0,13.0,4.0,0.4489795918367347,0.5000000000000001,0.0,0.20030837,0.14294674,0.028521677517539794,0.3386268709867413,0.6666666865348816
Lady Katherine,3,2,5,5.0,4.0,9.0,4.0,0.44,0.49242424242424254,5.376344086021505E-4,0.21503603,0.17274721,0.026345777686093242,0.31714291053499505,0.5
the waiter,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.14473322,0.0,0.025752496547494515,0.31208366868142345,1.0
the chambermaid,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.102476284,0.0,0.01984722447782422,0.23390698692396483,0.0
Mr. Gardiner,1,2,3,1.0,2.0,3.0,4.0,0.4489795918367347,0.5000000000000001,0.004301075268817204,0.102476284,0.12690423,0.01984722447782422,0.23390698692396483,0.5
Mr. Bennet,3,1,4,3.0,1.0,4.0,4.0,0.44,0.47727272727272735,0.0,0.09829764,0.10863576,0.03712777770249777,0.2377339419887725,0.5
Mrs. Bennet,1,7,8,1.0,16.0,17.0,3.0,0.5789473684210527,0.6515151515151515,0.05591397849462366,0.032455735,0.29903463,0.022786321819017196,0.1057119155681048,0.2380952388048172
Mrs. Phillips,1,1,2,2.0,1.0,3.0,4.0,0.36065573770491804,0.390151515151515,0.0,0.032455735,0.058239598,0.022786321819017196,0.1057119155681048,0.0
Lady Lucas,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.055575162,0.0,0.010734674871109153,0.026543202305317818,0.0
Mary,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.055575162,0.0,0.010734674871109153,0.026543202305317818,0.0
Lydia,1,6,7,1.0,7.0,8.0,3.0,0.5348837209302325,0.6086956521739131,0.024731182795698924,0.0,0.35439584,0.014736244922522948,0.002339069869239648,0.3333333432674408
Mr. Jones,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.033253387,0.0,0.02175648544297032,0.10119499518684343,0.0
Mrs. Gardiner,0,4,4,0.0,6.0,6.0,4.0,0.46153846153846156,0.5347222222222223,0.0,0.0,0.22797051,0.007965493901063873,0.0,0.4166666567325592
Georgiana,1,1,2,1.0,1.0,2.0,5.0,0.323943661971831,0.36159420289855065,7.168458781362007E-4,0.042367995,0.03634318,0.009658181656428642,0.002339069869239648,0.0
Mrs. Hurst,0,1,1,0.0,2.0,2.0,4.0,0.4339622641509434,0.4710144927536233,0.0,0.0,0.10863576,0.007965493901063873,0.0,0.0
Mrs. Reynolds,0,1,1,0.0,1.0,1.0,4.0,0.4339622641509434,0.4710144927536233,0.0,0.0,0.10863576,0.007965493901063873,0.0,0.0
Denny,0,1,1,0.0,1.0,1.0,4.0,0.36507936507936506,0.394927536231884,0.0,0.0,0.058239598,0.007965493901063873,0.0,0.0
Mrs. Forster,0,1,1,0.0,1.0,1.0,4.0,0.3582089552238806,0.392361111111111,0.0,0.0,0.0,0.007965493901063873,0.0,0.0
Mrs. Wickham,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.007965493901063873,0.0,0.0
Kitty,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014736244922522948,0.002339069869239648,0.0
