Id,In-degree,Out-degree,Degree,Weighted In,Weighted Out,Weighted degree,Eccentricity,Closeness centrality,Harmonic closeness,Betweenness centrality,Authority,Hub,PageRank,Eigenvector Centrality,Clustering coef
Elinor,10,12,22,31.0,55.0,86.0,2.0,0.8,0.875,0.29841269841269835,0.44081727,0.5251471,0.14623358225759633,1.0,0.15934066474437714
Willoughby,5,3,8,23.0,13.0,36.0,3.0,0.5333333333333333,0.5833333333333334,0.04027777777777777,0.3495781,0.15762246,0.06370334220285837,0.621381148704461,0.36666667461395264
Mrs. Dashwood,1,4,5,2.0,12.0,14.0,3.0,0.5333333333333333,0.6041666666666666,0.0380952380952381,0.09854706,0.22532713,0.022731951278407398,0.20642819914886587,0.3333333432674408
Mr. Palmer,1,1,2,4.0,1.0,5.0,4.0,0.42105263157894735,0.46354166666666663,0.0,0.09854706,0.06934916,0.022731951278407398,0.20642819914886587,1.0
Lucy,5,4,9,10.0,7.0,17.0,3.0,0.5161290322580645,0.5937500000000001,0.018650793650793647,0.33203253,0.24708708,0.08126146638074642,0.7675179479726427,0.699999988079071
Mrs. Ferrars,2,0,2,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.118234344,0.0,0.034622585932440025,0.2516848100244977,1.0
Lady Middleton,3,2,5,3.0,2.0,5.0,4.0,0.4,0.46354166666666663,0.007738095238095238,0.22782221,0.08258042,0.048427562157743145,0.5006643905266612,0.5833333134651184
Marianne,9,9,18,38.0,17.0,55.0,3.0,0.6666666666666666,0.7708333333333334,0.19166666666666668,0.3695525,0.45290765,0.13929121990161925,0.8341326659418524,0.1666666716337204
Colonel Brandon,3,2,5,8.0,6.0,14.0,3.0,0.5,0.5416666666666667,0.0,0.26644555,0.15207167,0.0443299299210932,0.5187121476322758,1.0
Fanny,2,0,2,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.18353806,0.0,0.035891472246543495,0.3800036798631087,1.0
Edward Ferrars,6,4,10,18.0,14.0,32.0,3.0,0.5333333333333333,0.6041666666666667,0.04424603174603174,0.36805877,0.2669232,0.07693198425596291,0.7197150229437742,0.4333333373069763
Robert Ferrars,2,2,4,3.0,3.0,6.0,3.0,0.47058823529411764,0.5208333333333333,0.012301587301587303,0.106086984,0.104910016,0.027990238055770646,0.20849248114035454,0.1666666716337204
Mrs. Jennings,4,7,11,5.0,15.0,20.0,3.0,0.6153846153846154,0.7083333333333334,0.015277777777777776,0.27999607,0.44180247,0.06949665565636376,0.6832605810562873,0.523809552192688
Sir John,3,3,6,3.0,10.0,13.0,3.0,0.5333333333333333,0.5833333333333334,0.04285714285714286,0.10802759,0.21767248,0.05136987508834608,0.27671638546154803,0.3499999940395355
the maid,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08499101,0.0,0.025528082056363824,0.17357548071424292,0.0
Thomas,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.042284362,0.0,0.017196888663584913,0.04341086971138168,0.0
Mr. Dashwood,0,2,2,0.0,2.0,2.0,4.0,0.38636363636363635,0.44607843137254893,0.0,0.0,0.040180128,0.01236856108822773,0.0,0.0
Margaret,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.029579464,0.0,0.030418407225014286,0.12852517471607416,0.0
Mrs. Palmer,0,1,1,0.0,1.0,1.0,3.0,0.4594594594594595,0.4901960784313725,0.0,0.0,0.0827225,0.01236856108822773,0.0,0.0
Mr. Harris,0,1,1,0.0,1.0,1.0,4.0,0.4146341463414634,0.45588235294117646,0.0,0.0,0.06934916,0.01236856108822773,0.0,0.0
the servant,0,1,1,0.0,1.0,1.0,4.0,0.3617021276595745,0.40196078431372545,0.0,0.0,0.06906885,0.01236856108822773,0.0,0.0
the house - maid,0,1,1,0.0,1.0,1.0,4.0,0.4146341463414634,0.45588235294117646,0.0,0.0,0.06934916,0.01236856108822773,0.0,0.0
