Sex,Age,Study time,Family relations,Free time,"Alcohol cons.
VL-L-M-H-VH"
M,16,2,5,4,1
M,16,2,4,4,1
M,15,2,4,2,3
M,15,2,5,5,1
M,15,1,4,3,2
M,15,3,4,5,1
M,17,1,5,5,1
M,16,1,3,1,1
M,15,2,4,4,1
M,15,1,5,4,2
M,16,2,4,5,1
M,16,2,5,4,2
M,15,1,4,2,2
M,15,1,2,2,1
M,16,2,5,3,2
M,16,2,4,4,2
M,15,2,5,4,1
M,15,2,4,3,3
M,15,2,4,5,2
M,15,2,5,3,1
M,16,1,5,4,1
M,15,3,5,4,2
M,16,3,2,4,3
M,15,1,5,4,1
M,15,2,4,3,2
M,15,1,5,4,2
M,16,4,4,2,3
M,15,2,4,3,1
M,15,1,5,5,5
M,15,2,3,2,4
M,15,2,4,3,1
M,15,4,1,3,1
M,16,4,4,3,1
M,15,4,3,3,1
M,16,1,5,3,1
M,15,2,4,3,1
M,15,4,3,4,1
M,17,1,4,5,1
M,15,1,3,2,1
M,15,3,5,3,2
M,15,2,5,3,3
M,16,2,4,4,1
M,16,2,4,1,1
M,15,4,4,3,2
M,16,1,3,3,1
M,16,1,4,5,3
M,16,3,4,4,1
M,15,1,5,3,2
M,15,2,5,4,1
M,16,3,5,3,3
M,15,4,1,3,1
M,15,1,5,5,4
M,15,1,3,5,3
M,15,2,5,4,4
M,16,2,5,4,1
M,15,2,4,4,1
M,16,1,5,4,1
M,17,2,5,2,1
M,15,1,3,4,1
M,15,4,5,5,3
M,16,1,3,4,5
M,15,1,5,5,1
M,18,1,3,3,3
M,16,1,3,5,3
M,15,2,5,3,2
M,17,2,5,4,5
M,16,2,4,4,2
M,15,4,2,2,2
M,16,1,2,3,3
M,17,1,5,4,1
M,16,1,3,3,1
M,15,1,4,5,3
M,18,1,2,3,2
M,16,1,4,4,3
M,19,1,4,5,3
M,15,2,4,4,1
M,17,1,2,2,2
M,16,1,4,2,1
M,16,2,4,5,2
M,17,1,3,3,2
M,15,2,4,4,2
M,16,1,4,4,1
M,17,1,5,3,2
M,17,2,5,3,3
M,16,1,4,5,3
M,16,2,4,3,2
M,16,1,3,4,2
M,16,2,4,3,1
M,17,2,4,4,4
M,17,2,4,4,2
M,17,2,4,3,2
M,16,1,4,3,3
M,17,2,5,2,1
M,16,2,3,4,1
M,16,2,4,2,1
M,17,2,4,3,1
M,16,1,3,3,1
M,16,2,4,2,2
M,17,2,3,1,1
M,17,2,4,4,5
M,16,1,4,3,1
M,16,1,5,3,1
M,17,1,5,2,1
M,16,1,3,3,1
M,17,2,5,3,1
M,18,2,4,4,1
M,18,2,3,2,1
M,18,2,3,3,4
M,17,2,5,3,1
M,18,2,4,3,1
M,17,2,4,5,1
M,17,2,4,5,1
M,16,2,4,2,1
M,16,2,3,4,1
M,16,3,5,3,2
M,17,2,4,4,1
M,18,2,5,5,1
M,17,2,2,5,3
M,17,2,3,3,2
M,16,1,5,4,2
M,16,1,5,3,2
M,16,1,4,3,2
M,17,1,5,2,3
M,18,2,4,3,3
M,16,1,4,3,1
M,18,1,4,4,1
M,16,2,5,3,2
M,18,1,3,2,4
M,16,1,3,3,2
M,17,1,4,4,2
M,17,1,4,4,2
M,19,2,4,3,3
M,18,2,5,2,1
M,18,2,4,3,1
M,18,3,5,3,3
M,18,2,4,2,1
M,17,2,5,4,2
M,18,2,5,4,1
M,17,2,3,5,1
M,18,1,3,2,2
M,18,1,4,2,1
M,17,1,4,5,3
M,17,1,4,4,2
M,17,2,4,3,2
M,18,3,4,2,1
M,18,2,5,4,1
M,18,2,4,3,2
M,18,3,5,4,4
M,17,1,4,4,4
M,18,1,1,4,4
M,17,1,4,1,3
M,19,2,4,4,1
M,19,1,4,3,1
M,19,2,4,5,3
M,19,2,4,5,3
M,18,3,4,3,2
M,17,1,4,3,4
M,17,1,4,4,2
M,18,4,4,5,3
M,18,2,4,3,3
M,18,2,4,3,3
M,18,3,5,3,3
M,18,3,5,4,1
F,18,2,4,3,3
F,17,2,5,3,1
F,15,2,4,3,1
F,15,3,3,2,1
F,16,2,4,3,3
F,17,2,4,1,1
F,15,2,3,3,2
F,15,3,5,2,1
F,16,1,4,4,1
F,16,3,3,2,4
F,16,2,5,3,3
F,15,3,4,3,3
F,16,1,1,2,4
F,15,1,3,5,1
F,15,3,4,3,3
F,15,1,4,3,2
F,16,2,3,3,3
F,16,2,4,3,3
F,15,2,5,2,2
F,16,2,2,3,3
F,15,2,4,4,2
F,16,2,4,3,2
F,15,2,4,3,2
F,15,1,3,3,3
F,15,1,5,3,1
F,16,2,5,3,1
F,15,2,4,3,5
F,16,2,4,2,4
F,16,2,2,4,1
F,16,1,5,5,1
F,16,2,4,4,2
F,16,3,3,4,4
F,15,2,4,4,3
F,16,2,5,4,2
F,16,4,4,3,3
F,15,2,4,1,2
F,15,4,4,4,2
F,15,2,3,3,2
F,16,2,4,3,1
F,16,4,5,2,4
F,16,2,2,4,2
F,15,2,4,4,1
F,15,2,4,3,3
F,15,2,4,4,1
F,16,2,4,3,2
F,15,3,5,3,5
F,16,3,4,3,1
F,15,1,4,5,3
F,16,2,3,3,2
F,16,2,5,3,2
F,15,4,3,1,3
F,16,2,4,3,3
F,16,1,5,3,3
F,16,3,5,3,1
F,15,2,4,3,2
F,15,4,4,3,1
F,15,4,5,1,1
F,16,3,5,4,5
F,16,3,4,1,1
F,16,2,3,1,1
F,15,2,3,2,2
F,16,2,4,2,2
F,16,2,5,4,5
F,15,2,5,3,2
F,19,2,3,4,2
F,15,3,4,2,1
F,15,1,4,3,2
F,17,1,3,4,3
F,16,1,3,2,1
F,15,3,4,3,2
F,16,1,4,3,5
F,15,1,4,3,1
F,15,3,4,2,1
F,16,1,3,4,4
F,15,2,4,4,3
F,15,2,3,3,3
F,15,2,4,3,1
F,15,3,4,2,2
F,17,1,4,2,1
F,18,1,5,2,1
F,16,2,4,2,1
F,16,2,5,1,5
F,16,2,4,4,2
F,16,2,4,3,3
F,16,2,4,4,3
F,16,2,3,4,2
F,17,2,5,4,4
F,17,2,5,3,2
F,16,2,1,2,3
F,17,2,3,3,2
F,16,2,4,3,1
F,17,2,5,3,1
F,17,2,4,3,2
F,17,1,4,2,1
F,16,2,4,5,2
F,16,2,4,3,1
F,16,2,4,4,1
F,17,2,4,4,1
F,17,1,5,3,1
F,16,4,5,3,4
F,17,3,4,4,4
F,16,2,2,3,2
F,16,2,1,3,2
F,16,1,4,3,2
F,17,3,4,4,3
F,19,4,4,3,2
F,16,2,3,3,1
F,17,1,5,2,2
F,17,2,4,4,1
F,17,2,3,4,3
F,17,1,3,3,1
F,17,3,4,3,3
F,17,2,4,2,1
F,17,3,4,3,2
F,16,2,2,3,3
F,16,3,5,3,4
F,18,2,5,3,1
F,17,2,5,3,1
F,17,3,3,2,2
F,17,2,3,2,2
F,16,1,4,5,2
F,17,2,2,1,1
F,18,3,4,4,2
F,17,4,4,2,1
F,17,4,3,4,3
F,18,2,3,1,2
F,17,3,3,2,1
F,18,3,4,3,1
F,18,2,4,3,1
F,18,2,4,3,2
F,19,2,4,3,3
F,18,4,4,5,2
F,18,2,4,4,1
F,17,2,4,3,2
F,17,2,4,4,1
F,18,2,4,1,2
F,18,2,2,4,1
F,18,4,5,2,2
F,18,2,5,4,1
F,17,2,5,4,1
F,18,3,4,3,1
F,17,3,4,3,1
F,17,3,4,2,2
F,18,2,5,4,2
F,17,4,3,1,2
F,19,2,2,3,1
F,18,2,4,4,2
F,18,4,4,3,2
F,18,2,4,2,1
F,17,3,4,3,1
F,17,4,5,2,2
F,18,2,4,4,1
F,19,2,4,4,4
F,19,2,4,2,3
F,19,2,3,4,2
F,19,2,4,2,1
F,19,3,4,1,2
F,19,3,4,1,3
F,18,2,5,3,3
F,18,3,4,3,2
F,17,3,4,3,4
F,18,2,4,4,5
F,17,2,5,2,2
F,17,2,4,2,2
F,17,3,3,3,3
F,17,3,3,4,1
F,17,3,3,3,1
F,17,3,5,4,1
F,17,3,4,3,1
F,17,3,4,4,2
F,18,2,5,3,2
F,18,2,4,3,3
F,18,4,4,4,1
